replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
201798,14.45123,14.49514,0,0,0.31099564,-0.0044605657,0.00305435,0.0040111095,-0.012812815,-0.011916657,0.005626897,0.0028590607,-0.030645045,3.271803,1.9270223,6.471367,-1.3866184,0.36099568,0.09621026,0.6760157,0.14198259,3.3752162,1.5892347,10.504784,0.22640666,7.4673896,4.445739,41.23954,0.550306,1.0010005235671997,0,0,10000,10,1000.0,0.0,1000,1000,-0.36783183008634757,0.8432149411542877,2.4614554975980076,-3.2367708211967825,-367.8318300863474,116.85960010847592,-182.00174863657068,-601.2643765028013,-0.08352442,0.7172762,0.99957216,-0.9999034,10,-367.8318300863474,18.639325714000734,0.018777962017338723,0.03945049500907771,164.48393079801463,183.18148496904178,191.2188082220382,0
201798,8.206911,8.79271,0,0,532.4741,68.11758,40.15537,123.768326,-10.720499,68.14412,40.151554,123.48023,-10.433692,67.729385,40.239292,120.20458,-11.286925,0.12976073,0.057373047,0.5883045,0.029226374,0.20535672,0.2457461,2.0219152,0.00090553495,0.51883435,0.6206857,9.861868,0.015691694,6691.66845703125,0,0,20000,20,1000.0,0.0,1000,1000,1.889138097589007,2.247078702828888,6.789278176163452,-0.6581267105630891,1889.1380975890067,809.9519467318781,3206.9690224929946,667.2494701648935,-0.12245614,0.5260133,0.9974984,-0.9999607,10,1889.1380975890067,18.685716780018993,0.021598018996883184,0.09087525302311406,164.56873410299886,183.36692415503785,374.59183914907044,1
201798,28.632507,26.929123,0,0,1630.8674,116.20735,74.02907,214.3445,-22.641869,116.03222,73.83752,213.88597,-21.944984,116.007,74.323044,216.73997,-23.146103,0.12404126,0.07073625,0.61247605,0.029957535,0.21606785,0.29047298,2.8320508,2.4332765e-05,0.54472214,0.8178219,10.349707,0.012841968,22026.466796875,0,0,30000,30,1000.0,0.0,1000,1000,2.614805776860132,2.3675855176455936,6.944516957692281,-0.8225168669017535,2614.805776860133,1638.5477555315301,4587.0698865012,333.3354594682339,-0.20196097,0.59668607,0.9967184,-0.99996287,10,2614.805776860133,18.673519064992433,0.024985322990687564,0.09967212099581957,153.78436911600875,172.5825456249877,547.1784735970432,2
201798,56.975677,54.770363,0,0,1803.0149,163.74042,95.630066,285.95752,-39.822983,163.71753,95.444664,284.4616,-39.786396,162.86272,95.509415,280.61252,-39.226604,0.13185674,0.06682543,0.5267305,0.044640217,0.20930643,0.31674492,3.0535398,0.00064188085,0.56693685,0.746084,7.975951,0.018003091,22026.466796875,0,0,40000,40,1000.0,0.0,1000,1000,3.3004941541438404,2.2017758170906827,6.762993796971523,-0.6662024369058694,3300.494154143841,1690.9850525793422,4758.6673413930475,570.6761033928171,-0.27068993,0.63231605,0.99641895,-0.9999524,10,3300.494154143841,18.663739017996704,0.024850044981576502,0.10030176301370375,154.87319318097434,173.66208400696632,720.8474478230055,3
201798,70.583015,66.76305,0,0,1842.6901,207.70255,108.54668,325.08536,-53.655327,207.49678,108.45778,324.07285,-49.669197,207.26263,109.08139,326.93658,-54.45343,0.13365799,0.074502654,0.5177144,0.02831692,0.2018722,0.28259972,1.7008656,5.717219e-05,0.5985292,0.84250915,6.989093,0.015853697,22026.466796875,0,0,50000,50,1000.0,0.0,1000,1000,3.7700695047747868,2.0177852947951815,6.89909966503335,-0.5542575273003749,3770.0695047747877,1458.1398908747713,4779.0490383845145,256.5243682944569,-0.32549265,0.65482086,0.99519736,-0.9997587,10,3770.0695047747877,16.99475387498387,0.015327562985476106,0.09232155000790954,148.76368548499886,165.86608847297612,886.7193055469834,4
201798,63.380035,64.32288,0,0,1697.5602,214.56316,135.17548,359.02313,-67.98639,214.41718,135.0823,358.57523,-68.87573,214.78143,135.68538,361.20544,-68.146835,0.12706912,0.069358155,0.40445775,0.026293363,0.21309018,0.30201426,1.9977622,2.7306149e-05,0.5467218,0.69369763,5.902874,0.010723057,22026.466796875,0,0,60000,60,1000.0,0.0,1000,1000,3.3106271366256173,2.2989475591308555,7.163698199365138,-0.6437037863524097,3310.6271366256174,1664.5881901986509,4706.404498996637,-95.92206286344914,-0.3089057,0.6361218,0.9973937,-0.9998278,10,3310.6271366256174,15.332845498021925,0.014312182000139728,0.07643858101801015,146.56274821297848,161.98634447401855,1048.7098154309497,5
201798,100.15758,95.77722,0,0,1718.0791,252.82602,133.83824,376.52448,-70.28938,253.03831,133.75096,377.2116,-69.155876,250.84068,133.40654,381.24426,-68.09398,0.12800066,0.071303576,0.53321135,0.02525502,0.22533268,0.38589606,4.47525,7.462758e-05,0.54469657,0.7294636,7.194901,0.0129667455,22026.466796875,0,0,70000,70,1000.0,0.0,1000,1000,3.687430048926409,2.0713132112783175,7.0066557373873595,-0.655257015705206,3687.4300489264087,1446.0837692881137,4760.615526377997,163.4602529768003,-0.30520487,0.6704501,0.9975164,-0.99986374,10,3687.4300489264087,15.092374607978854,0.015246383001795039,0.0858525850053411,134.18989835798857,149.38337193397456,1198.0972580179805,6
201798,99.75247,99.851006,0,0,1559.1753,269.10095,137.277,395.49918,-66.04362,269.0251,137.3222,397.3036,-66.646385,268.66818,137.43332,400.16266,-64.222885,0.12078644,0.069565386,0.42058554,0.024531914,0.20639855,0.35547286,3.4530258,0.00021214505,0.49259743,0.6594656,6.557617,0.007697284,22026.466796875,0,0,80000,80,1000.0,0.0,1000,1000,4.536015698038952,1.377002831538662,7.2561045139307225,-0.6861802139519113,4536.015698038953,506.34427830195574,4918.808868766173,3050.1911054750713,-0.40653625,0.669018,0.9971953,-0.99990696,10,4536.015698038953,15.088729326991597,0.014739189995452762,0.08473342499928549,135.05845887798932,150.24666081997566,1348.348464726936,7
201798,110.373344,103.06048,0,0,1550.2573,265.2315,151.25525,404.21875,-86.06499,265.41962,151.31609,408.62543,-87.88142,265.1409,151.85559,409.50595,-90.76829,0.13238332,0.07882131,0.44184157,0.027980238,0.1940951,0.2725982,1.5831366,0.00027248077,0.59412354,0.7926278,6.847887,0.00933134,22026.466796875,0,0,90000,90,1000.0,0.0,1000,1000,4.455487621343626,1.3492974852266224,7.175534381548323,-1.466907084310435,4455.487621343627,383.09236656213534,4774.137533348738,3389.2907443144495,-0.40896177,0.66147774,0.997707,-0.99988085,10,4455.487621343627,14.99402553201071,0.014466758002527058,0.09273055699304678,151.12463320599636,166.22585605300264,1514.5789852139133,8
201798,94.5052,95.60245,0,0,1482.4817,280.37537,152.46722,411.5615,-98.615616,279.9853,152.1944,413.88907,-97.35669,279.49945,151.947,411.25394,-93.71365,0.12998557,0.07067518,0.4288179,0.0390814,0.23232718,0.35682225,2.8165278,0.0003328638,0.5550722,0.7361204,8.027219,0.021792278,22026.466796875,0,0,100000,100,1000.0,0.0,1000,1000,4.598101816448613,1.0865446861186778,7.446224315759219,-0.508417486810971,4598.101816448612,75.14541258522993,4697.685852079464,4422.318565345798,-0.41743356,0.6647494,0.9986322,-0.9999415,10,4598.101816448612,15.123680958000477,0.016575868998188525,0.08712620797450654,169.12741253399872,184.3547955689719,1698.9380501048581,9
