replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999000,24.469555,24.327145,0,0,0.32774955,-0.016532484,0.005447696,-0.005663462,-0.0338188,-0.001371392,0.004131848,0.012517251,-0.011690361,4.7533207,1.3104025,7.0705757,-1.4878618,0.37774956,0.09770289,0.68672395,0.14842601,3.4825475,1.6499281,9.954204,0.44835317,7.739028,4.640272,34.468456,0.52768177,1.001000524,0,0,10000,10,1000,0,1000,1000,-0.184556099,0.492641935,2.02685302,-2.651587384,-184.5560987,62.22768542,-125.4656673,-356.2521718,0.048527703,0.7166808,0.99984956,-0.99944407,10,-184.5560987,17.09209215,0.019201223,0.086691191,151.9323811,169.1303657,184.2104706,0
999000,7.59954,7.3136644,0,0,528.7283,102.60554,20.471045,134.94304,-3.556058,102.544205,20.50102,134.60266,-3.2259824,102.19481,20.753937,134.22685,-4.4815254,0.13689515,0.07410826,0.5617321,0.020415729,0.17356794,0.38410762,4.799369,0.000308361,0.5054273,0.72669834,8.143747,0.007429842,6098.484375,0,0,20000,20,1000,0,1000,1000,3.734852307,2.184563539,7.35441567,-1.80159806,3734.852307,1104.78809,4876.013386,1368.354841,-0.27925968,0.6521355,0.9975416,-0.99999774,10,3734.852307,17.23700663,0.018247041,0.096167672,150.8307801,168.1822014,352.3972765,1
999000,12.672477,13.707006,0,0,1481.5724,188.78745,34.15655,230.82027,-13.843346,188.8421,34.162716,230.23273,-12.188907,188.75981,34.330635,230.75722,-12.499899,0.11726327,0.07241434,0.5479123,0.02529511,0.12168159,0.2913575,3.1188245,4.71E-05,0.39167124,0.7034591,6.588853,0.010451044,22026.4668,0,0,30000,30,1000,0,1000,1000,3.401685447,2.38215969,7.468682892,-1.260117346,3401.685447,1247.178889,4876.794711,1702.501561,-0.25460982,0.63840646,0.99927753,-1,10,3401.685447,17.03252302,0.015431139,0.097674739,145.3578601,162.503489,514.9049154,2
999000,22.21019,21.940926,0,0,1452.9304,251.52853,42.58348,298.9826,-20.359665,251.44543,42.936737,298.14627,-19.22549,251.0026,43.162907,297.13702,-18.323551,0.11596294,0.08091825,0.77970093,0.025482923,0.12169739,0.3092297,3.4698176,0.000490372,0.41845065,1.0875937,14.716156,0.010510366,22026.4668,0,0,40000,40,1000,0,1000,1000,3.63632531,2.346820001,7.633859032,-1.220931475,3636.32531,1695.592753,5065.932342,897.2153845,-0.26795623,0.6449189,0.99879795,-1,10,3636.32531,15.08460178,0.014741325,0.076059686,130.4922549,145.6676577,660.5807051,3
999000,28.871418,29.837423,0,0,1418.5825,304.03403,40.227707,349.12186,-27.607021,303.8861,40.442947,346.94055,-28.873398,303.93304,40.429367,347.87683,-25.778818,0.114403546,0.07449203,0.75410885,0.03267362,0.09582256,0.19580935,1.6826848,0.000679122,0.38707182,0.9606485,13.490157,0.014024676,22026.4668,0,0,50000,50,1000,0,1000,1000,3.103182588,2.482857399,7.769046714,-0.996831875,3103.182588,1635.416939,4963.052739,562.4098078,-0.21815266,0.6118404,0.9985333,-1,10,3103.182588,15.30932073,0.013824408,0.084991584,130.2806525,145.6887892,806.2744384,4
999000,33.431526,32.464336,0,0,1289.8433,330.97266,61.53768,390.2545,-44.29719,331.13058,61.926785,390.0924,-45.85575,331.0058,62.00267,391.78226,-42.299065,0.10855879,0.07573637,0.48976952,0.015868723,0.121800154,0.29634213,3.1454306,0.000161794,0.3591874,0.66270167,5.2300897,0.004499572,22026.4668,0,0,60000,60,1000,0,1000,1000,4.584068371,1.73880437,8.174297515,-0.979124637,4584.068371,1168.743172,5191.458602,1128.762131,-0.34018636,0.6846802,0.9996273,-0.99999845,10,4584.068371,14.98087174,0.013734026,0.083201823,130.0020085,145.0798161,951.3583196,5
999000,28.518814,29.629812,0,0,1302.3025,363.33118,53.579704,421.5945,-54.572353,362.6648,53.456013,418.03317,-51.90195,363.74255,54.36507,422.16116,-51.504353,0.10912444,0.068784,0.51830167,0.018890202,0.102136,0.2610822,2.6960773,0.000436725,0.34029454,0.6198966,5.954024,0.005161047,22026.4668,0,0,70000,70,1000,0,1000,1000,4.883847338,1.401352718,8.207205092,-0.813003226,4883.847338,574.6453721,5267.109254,3184.796349,-0.37158754,0.6863107,0.9987115,-0.9999623,10,4883.847338,14.99076972,0.018910233,0.095342963,134.456846,149.5618689,1100.924161,6
999000,22.19269,17.884132,0,0,1134.417,381.05377,68.906456,434.7595,-63.53661,381.52136,68.822586,434.0981,-64.9193,381.2796,68.67003,436.54532,-61.316822,0.101502456,0.06700928,0.65845054,0.027736329,0.0931516,0.30961668,4.503216,0.000653095,0.3049336,0.73768896,9.877586,0.01309215,22026.4668,0,0,80000,80,1000,0,1000,1000,4.625826109,1.613167921,7.476038451,-1.002846176,4625.826109,1034.527433,5191.151901,1543.037392,-0.35664606,0.67949736,0.99976367,-0.9999412,10,4625.826109,17.60420424,0.01948945,0.098577257,154.8608353,172.5831063,1273.512505,7
999000,22.841825,24.266758,0,0,255.52103,406.78735,55.714207,458.49683,-67.110535,406.54636,55.67121,457.26382,-69.832565,406.7181,55.942234,458.14148,-66.01102,0.08003232,0.04307242,0.34882227,0.014613356,0.04844875,0.10449456,1.3827006,7.86E-05,0.16750905,0.25590906,2.5650916,0.003283382,22026.4668,0,0,90000,90,1000,0,1000,1000,5.012355871,1.102951631,7.634549703,-0.875856406,5012.355871,103.6325422,5133.717236,4837.400429,-0.37668413,0.7047513,0.9998149,-0.99995166,10,5012.355871,17.7972802,0.019435182,0.076019594,174.0653295,191.9580644,1465.477097,8
999000,22.045553,21.47563,0,0,636.276,406.75726,80.66919,461.82233,-80.54712,406.3762,80.36696,462.52377,-77.95548,407.51096,80.62365,464.37122,-76.928665,0.097311735,0.07191673,0.5377192,0.015538504,0.0933181,0.24156585,2.0582585,0.000401296,0.30111456,0.6716431,6.5110574,0.004357643,22026.4668,0,0,100000,100,1000,0,1000,1000,4.99974957,1.113170067,7.805489482,-0.850507668,4999.74957,93.5864578,5145.787752,4805.877014,-0.3760929,0.6987197,0.9994724,-0.99977416,10,4999.74957,18.24119399,0.018556758,0.086267888,173.1663959,191.5124145,1656.995122,9
