replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999000,135.33679,37.788525,135.3681,37.788498,0.00023285538,0.00020733543,0.0020728596,0.0028389224,0.009475414,-0.0033734576,0.0005776715,0.0018827417,0.0073124534,-0.0033923164,0.0020627365,0.002845581,0.009173274,-0.0034645274,0.00057358586,0.0018794164,0.007144413,-0.0035160407,0.002064956,0.0028477684,0.009238981,-0.0037109514,0.0005774338,0.0018775754,0.007384197,-0.0032411085,-0.1781313,0.7585375,0.999563,-0.9995784,9.549513,2.5357616,12.714117,-1.3099228,1,1,-4.021229,0.0020134943,0.00282403,0.008835136,-0.003131514,0.00052850595,0.0018631996,0.0070414115,-0.003063148,9.547726,2.5356915,12.713813,-1.309007,-4.0209723,0.5443163,-2.3369896,-5.680581,0.0005924949,0.0018281002,0.0057421015,-0.00428232,0.00073297723,0.000988491,0.003494286,-0.002410522,0.9998999834060669,-0.0,0,0,10000,10,1000.0,0.0,1000,1000,-1.77723345579596e-05,0.014629778789178757,0.3437180310491826,-0.4190109157022668,-0.017772334557961966,0.6828622877542373,1.157645664433783,-1.2318034481008853,0.00027475262,0.0012486905,0.0022712725,-0.0019306169,10,-0.017772334557961966,14.498259922000216,0.018083505000504374,234.77970068300056,249.29604411000128,268.0459007720001,0
999000,46.794086,-6.7191544,47.47981,-6.8229637,6.8509083,7.411367,-0.4563753,9.374999,29.730522,-23.722166,-1.0629145,9.779406,29.6736,-28.718222,-10.441256,7.969159,25.267574,-28.923502,-11.834427,8.629379,26.372795,-31.786077,-7.012904,8.427517,26.410753,-27.914276,-7.992058,8.7967415,27.965538,-27.946672,-0.13917743,0.76618004,0.9989935,-0.9978526,9.727914,2.2865171,12.678754,-1.2159218,5001,5001,0.10562962,8.729374,7.9205046,31.210415,-11.918834,8.662312,7.8332863,31.798698,-14.103368,8.040935,10.343842,34.594357,-18.495926,-1.0570033,2.4978523,6.5064816,-9.385052,-0.17089503,0.8277379,1.6002526,-1.502376,-0.24164493,0.2610039,0.7811469,-1.1178771,0.6168734431266785,-3.408512592315674,0,0,20000,20,1000.0,0.0,1000,1000,-0.031630206626626925,0.055221242797833255,1.1845252317781634,-0.6136828615415959,-31.630206626626933,1.8558994161307305,-28.26920716674994,-34.00696536667563,-0.11095473,0.21455152,0.5754738,-0.63218915,10,-31.630206626626933,14.571472187999461,0.017139436000434216,235.92464091799957,250.51325254199946,518.5749722669998,1
999000,20.677094,-5.902405,18.71535,-6.26947,12.008591,12.084427,72.752625,26.836582,106.97216,-35.236217,72.68463,26.986696,106.44987,-38.41201,48.78383,23.552553,97.48296,-37.061485,48.65194,23.656387,96.76129,-40.763844,56.219276,23.558493,94.53672,-35.19491,56.805733,23.943098,94.73231,-39.596184,-0.18579459,0.74789655,0.9988264,-0.99834347,9.75617,2.3375967,12.601805,-0.9054905,10001,10001,-70.24372,76.037766,26.896332,104.44414,-30.510191,76.10869,27.06366,105.216385,-31.943651,77.3919,27.684114,108.03851,-31.207785,1.983174,3.153125,9.149598,-8.739311,-0.28749827,1.0961906,2.192055,-2.1254356,-0.56967515,0.3234533,0.5892561,-1.7786704,0.3892541527748108,-3.789613723754883,0,0,30000,30,1000.0,0.0,1000,1000,0.24784243596438918,1.044649281420795,6.918489609320588,-0.5987104910018413,247.8424359643891,182.8200461490069,681.8115783684951,65.01638668318263,-0.06849875,0.28878036,0.9861873,-0.9794289,10,247.8424359643891,14.700707420000072,0.022345794999637292,220.38870961000066,235.11176282500037,753.6958056249987,2
999000,6.698515,-9.619995,7.221287,-9.856445,13.12036,13.230694,294.16547,67.31944,352.49475,-29.616604,294.04645,67.196655,352.3493,-27.499956,266.03986,62.771027,343.89188,-30.844595,265.9034,63.063267,344.836,-27.622538,275.59796,62.894794,335.93942,-30.207512,275.67743,63.20346,336.09216,-27.563719,-0.16675067,0.761457,0.9986333,-0.9999526,9.726448,2.4195144,12.7259655,-1.4533186,15001,15001,-287.08066,293.1851,67.51682,350.10107,-28.75279,293.11343,67.387535,350.54236,-26.690891,292.21713,68.16271,351.04706,-28.301193,6.667171,3.728091,17.036318,-5.162192,-0.3859572,1.5088905,2.4497888,-2.8271692,-0.7627113,0.27132902,0.015182722,-1.8323908,0.4381919503211975,0.5505074858665466,0,0,40000,40,1000.0,0.0,1000,1000,-0.3085625939078982,0.8072709910091156,6.218316246213027,-4.649234162928766,-308.5625939078982,329.9993107045421,650.1586981593031,-532.1522043200081,-0.3239528,0.73020786,0.9973088,-0.9999999,10,-308.5625939078982,14.147076573999584,0.01993555599983665,219.36135432400079,233.5283664540002,987.231430771998,3
999000,21.139812,-8.029053,19.369495,-8.538818,15.229622,14.572454,452.7623,85.59609,550.65765,-24.53776,452.54425,85.29909,549.70856,-22.611313,420.70645,80.76392,536.07556,-25.032494,421.79843,80.60201,535.5567,-23.31047,432.90283,80.80072,536.7681,-24.343899,433.2378,80.55423,534.5329,-22.410513,-0.18327923,0.7571351,0.99857235,-0.99936557,9.389824,2.3429055,12.111705,-0.5003231,20001,20001,-445.8808,451.83,85.979546,548.7398,-24.941456,451.75494,85.73568,548.4755,-22.850212,450.7782,85.99309,545.8941,-19.420017,5.9236894,3.5929031,15.994051,-4.1551433,-0.37534347,1.452217,2.5140357,-2.6030927,-0.77130204,0.2801969,0.0401528,-1.7624636,0.5220551490783691,-0.04960567504167557,0,0,50000,50,1000.0,0.0,1000,1000,-0.07027156137598768,0.6521787474530307,5.587770489340693,-3.3487880082793238,-70.27156137598763,112.22556801145737,152.88264267179562,-229.77661211019145,-0.15026417,0.6564457,0.99810445,-0.9993676,10,-70.27156137598763,14.149476516000504,0.015562999999019667,213.19967060900126,227.36471012500078,1214.6066724910006,4
999000,13.584171,-9.432617,13.280436,-9.873535,17.965683,17.860489,596.39014,89.963264,693.1157,-23.677038,595.4176,90.0326,694.81195,-24.785706,559.1715,86.73123,679.05804,-23.814312,558.4173,86.539024,677.86646,-24.620186,571.33887,85.21868,670.2692,-23.647646,570.4811,85.367714,665.95215,-24.61047,-0.16284196,0.76528513,0.99858135,-0.9998962,9.752086,2.0076234,12.173518,-0.7746608,25001,25001,-588.6711,595.32715,90.056755,689.83484,-22.00886,594.48035,90.058586,686.09204,-23.204529,596.0,90.41443,689.4699,-25.307188,6.338334,3.8036954,15.7745075,-7.6733093,-0.3572644,1.4784286,2.6681814,-3.0771127,-0.8157404,0.29868725,0.023298599,-1.913593,0.5610072016716003,0.19558432698249817,0,0,60000,60,1000.0,0.0,1000,1000,-0.09866986757331889,0.7107650320109958,5.868403548338343,-4.35321679021922,-98.66986757331878,254.36599258819476,178.67712211774017,-560.702000382769,-0.16975667,0.5260485,0.99858385,-0.99999976,10,-98.66986757331878,11.77586703399902,0.016247923998889746,199.64098493100028,211.43309988899819,1426.0466069610038,5
999000,26.569695,-7.064209,29.678684,-8.0078125,18.424232,18.553268,688.5111,141.06273,804.03625,-81.54508,688.1156,141.01903,802.25665,-84.30839,650.99384,134.1213,794.66315,-81.745926,650.7048,133.96838,796.59,-85.09766,662.24805,135.83089,786.1666,-81.02316,661.6384,135.90038,785.2257,-84.3633,-0.18044853,0.7575286,0.99997944,-0.99999964,9.784693,2.2801638,12.941712,-0.8557279,30001,30001,-681.60474,687.4934,140.96542,803.06226,-81.514694,687.3685,140.91412,801.51074,-85.212906,688.11536,141.62453,803.2065,-81.854614,5.726868,3.9147816,16.177574,-6.6388197,-0.34666133,1.4229634,2.8431473,-2.539718,-0.80137086,0.2936407,0.07479004,-1.8938103,0.5873683094978333,-0.1453453004360199,0,0,70000,70,1000.0,0.0,1000,1000,-0.22230482871108997,0.8414843875424168,5.453088550764457,-3.893227944505836,-222.3048287110897,313.3042827475089,212.21856569311166,-655.6172063594108,-0.107539125,0.5794374,0.9960791,-0.9987648,10,-222.3048287110897,11.731036421000681,0.01383765799982939,200.00986536299934,211.75473944199985,1637.8081099160036,6
999000,31.086258,-8.204346,28.291508,-7.527588,19.026152,19.230373,776.73456,134.03667,888.79895,-74.40389,775.88055,133.61894,887.78406,-72.419685,737.06433,128.69159,872.4696,-74.448906,736.5619,128.5477,872.39124,-72.027565,749.2914,128.55205,857.9612,-73.83063,747.29626,128.45053,857.6331,-71.90819,-0.16134943,0.7616481,0.99916327,-0.9991875,9.907574,2.3026018,12.456418,-1.3394783,35001,35001,-769.2994,775.73193,133.90274,886.58276,-73.77903,774.7948,133.67538,886.17706,-71.42436,775.87646,133.48917,888.4649,-68.373795,5.9741592,3.7423463,16.024715,-4.813636,-0.3296531,1.4467778,2.420535,-2.563625,-0.7949837,0.28542483,0.16452405,-1.9766972,0.6009973287582397,-0.01315813884139061,0,0,80000,80,1000.0,0.0,1000,1000,-0.2856981229903625,0.5458577224730226,5.487521140860034,-1.5935548312169514,-285.69812299036244,71.01214311562623,-124.68530896240678,-367.58194381747643,-0.2426596,0.76599395,0.9977304,-0.9981954,10,-285.69812299036244,11.972557806000623,0.015327241000704817,198.64057175500056,210.6284568020019,1848.443408048005,7
999000,38.630867,-10.13916,40.955666,-9.952637,21.833578,22.38748,843.66956,95.65922,942.9738,-29.212133,842.6221,95.46488,941.10815,-29.13083,800.3041,91.508804,910.9436,-29.165522,798.394,91.26859,907.8629,-28.789133,810.7323,90.590866,917.2153,-29.488752,809.47595,91.418205,918.68164,-29.32105,-0.1957972,0.7637412,0.998429,-0.9997516,9.877244,1.9450123,12.71752,-0.09157695,40001,40001,-835.75415,842.8269,96.43525,941.81146,-27.780859,841.85046,95.97642,939.47504,-27.300594,841.59106,96.50198,944.5676,-28.777195,6.386589,3.530009,15.679486,-7.293606,-0.4074506,1.4442403,2.7131407,-2.6545117,-0.8375731,0.30299288,-0.11594451,-2.0493479,0.6086084246635437,0.19197353720664978,0,0,90000,90,1000.0,0.0,1000,1000,-0.18733514965207393,0.8176586657316777,5.993938121469664,-2.2845904190682766,-187.3351496520739,235.93056563044993,461.70624628003515,-388.5385954971148,-0.26242754,0.759597,0.9986702,-0.998606,10,-187.3351496520739,11.398379692000162,0.013953530000435421,197.7785900529998,209.1909232750004,2057.641422850006,8
999000,32.604774,-7.947754,32.98353,-8.469727,20.139877,21.035559,863.29315,170.1459,990.7885,-65.12372,862.8805,170.08974,991.3523,-68.055214,822.8293,163.30377,971.29065,-65.0233,821.1537,162.95622,968.3939,-67.74841,834.4131,164.17241,966.6189,-65.133705,832.0436,163.9994,971.4402,-67.504776,-0.17140847,0.75757384,0.99822897,-0.9993252,9.553638,2.5348337,12.286681,-0.5556938,45001,45001,-856.6299,862.65533,170.1199,988.0919,-63.576817,862.43384,170.12724,989.5988,-67.96446,863.93506,170.60825,989.91693,-58.748737,5.549116,3.4994085,14.146052,-5.819051,-0.3403274,1.397675,2.6558414,-2.5329065,-0.80149406,0.3145578,0.046089955,-2.076379,0.6140369176864624,-0.21988564729690552,0,0,100000,100,1000.0,0.0,1000,1000,-0.21048030184038807,0.7489898182305468,6.040378392168714,-1.822578112262413,-210.48030184038808,169.31394516234707,132.0082562264091,-381.4744539894637,-0.22586305,0.7698772,0.9989106,-0.99875706,10,-210.48030184038808,11.558474299001318,0.014136654001049465,197.55825479099985,209.13086574400222,2266.7785734680065,9
999000,31.606743,-7.855957,32.37334,-7.745117,20.507225,20.159472,889.43243,176.28465,1041.8352,-106.39273,890.3744,176.60057,1043.3643,-108.05811,847.96716,168.82114,1020.967,-106.56139,849.8755,169.30511,1025.3683,-107.96994,859.80634,168.89055,988.33466,-107.05318,861.495,169.59192,997.1757,-108.41891,-0.18115874,0.7533826,0.9988473,-0.99906516,9.3444,2.7479272,12.301509,-1.9985021,50001,50001,-882.8861,888.6245,176.41354,1034.9857,-106.24483,889.53784,176.69469,1038.124,-107.38567,890.9167,176.55647,1037.8729,-102.66282,6.090654,3.4529495,13.908486,-4.776079,-0.36946568,1.4272984,3.0869918,-2.6236997,-0.81332237,0.3106302,0.18128571,-2.0546446,0.6117815375328064,0.04454212635755539,0,0,110000,110,1000.0,0.0,1000,1000,-0.22811155062493257,0.8017864752646825,6.386839942003687,-1.821422999968425,-228.11155062493253,162.90980819983668,115.86776478077809,-412.25707218582846,-0.21905407,0.80949914,0.9991882,-0.9995046,10,-228.11155062493253,11.485475392999433,0.013630723999085603,197.82339890899857,209.3225050259971,2476.1078352050054,10
