replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
201798,53.161606,37.801617,53.137566,37.80116,0.00020937013,0.00026173133,-0.0045767887,0.0016905944,-0.00031992228,-0.0076177316,-0.0010672593,0.0016260674,0.004622539,-0.006416717,-0.004574279,0.0016838756,-0.00026838982,-0.0077733546,-0.0010649676,0.001628591,0.0048840707,-0.0061075366,-0.004571296,0.0016815967,-0.00022164232,-0.0077476194,-0.0010683434,0.0016301342,0.004883209,-0.0061528753,-0.3400508,0.7092353,1.0,-1.0,3.4358873,1.884592,6.1280756,-1.8952516,1,1,-4.0505095,-0.004423143,0.001654154,-0.00022511848,-0.007496711,-0.00082539726,0.0016520909,0.004675379,-0.005591581,3.4319997,1.884611,6.120672,-1.8999143,-4.055089,0.5113232,-2.6974435,-5.1545396,0.00059255963,0.0016588455,0.005148462,-0.004990436,-0.0010530987,0.0015785623,0.003966912,-0.0052298377,0.9998999834060669,-0.0,0,0,10000,10,1000.0,0.0,1000,1000,-0.00025260839957858103,0.015400911211880513,0.36281286900562676,-0.3917201050267495,-0.2526083995785809,0.4709749803833971,0.23935070035895595,-1.3142752525806043,0.00042125268,0.0011685793,0.0021658838,-0.0025209647,10,-0.2526083995785809,12.347150210000109,0.018799042009050027,215.60586455200973,227.9718138040189,235.6260838129965,0
201798,59.40248,2.4883118,59.9899,2.8140259,5.7339993,5.642212,-95.77466,36.220814,-14.014866,-177.59866,-96.180374,36.133648,-14.826161,-178.40091,-103.19456,40.089817,-14.349045,-177.53932,-103.454384,39.936275,-14.931901,-177.56639,-97.77343,37.13671,-13.066759,-174.1792,-98.131615,37.02933,-15.31535,-176.45015,-0.3336351,0.71713054,1.0,-1.0,3.251209,2.0010245,6.708125,-2.2897105,5001,5001,94.92415,-88.544815,32.27207,-13.738088,-159.89674,-88.94825,32.05866,-15.623233,-160.08426,-87.87618,32.928314,-6.9214334,-170.4571,-1.1571872,3.0053906,11.294991,-8.952759,-0.423656,0.72349995,2.057102,-1.8779032,-0.050782878,0.30909505,0.90967965,-1.1134348,0.6147632598876953,-3.4814205169677734,0,0,20000,20,1000.0,0.0,1000,1000,1.9057966846229206,1.9226750768156133,5.91503555764533,-0.5339730272004359,1905.7966846229203,1577.878499887229,3751.519683633686,-92.46636546198327,-0.24174938,0.44595775,0.92532754,-0.9303006,10,1905.7966846229203,12.824526091004373,0.017382413003360853,215.82238667999627,228.664295184004,464.2986621589953,1
201798,67.99977,4.5915527,63.362003,4.5289917,8.675693,8.714139,-146.24727,49.571648,-34.805683,-355.5132,-146.8365,50.281593,-34.513504,-358.14948,-162.09497,57.08551,-35.05963,-365.67947,-162.87259,57.86423,-33.76476,-368.69043,-150.6335,51.29498,-35.226578,-366.18677,-151.34648,52.011913,-34.3066,-365.7738,-0.35266182,0.7107653,0.9999412,-0.9999963,2.991705,1.9811771,7.2179255,-2.556492,10001,10001,147.92218,-143.04816,47.913788,-35.54169,-339.34518,-143.64401,48.395638,-35.688946,-342.81152,-142.49385,49.435772,-32.962914,-351.78244,0.69431984,3.6875887,11.3169775,-7.377923,-0.60491157,0.9637795,2.2671573,-2.6757095,-0.17701627,0.37257108,0.8748611,-1.5604548,0.382951557636261,-5.092148303985596,0,0,30000,30,1000.0,0.0,1000,1000,4.006703889971364,1.6606208373316242,6.546230415727768,-0.584642298174801,4006.7038899713625,1124.7624938898932,4595.796887222939,735.4648686394048,-0.3667095,0.61732626,0.9805038,-0.9878092,10,4006.7038899713625,12.759563432002324,0.021913667995249853,219.0112786180107,231.79275571800827,696.100419955008,2
201798,5.897991,-6.3809204,6.381548,-6.209381,11.1623,11.742626,-35.412445,40.052395,5.875819,-311.91684,-35.6478,40.170307,7.2515574,-311.76627,-58.7629,37.224957,-4.901226,-326.12347,-60.1175,37.53413,-7.4448566,-329.62567,-40.98641,38.935215,-1.4570695,-312.2875,-41.07093,39.10615,-0.4568177,-315.22443,-0.3397579,0.7224651,1.0,-1.0,3.4070816,1.839935,7.2068357,-1.5301064,15001,15001,42.739117,-36.152275,39.880386,2.2014587,-306.36975,-36.486637,40.03624,4.0755796,-308.17297,-36.18532,39.93041,3.7917478,-311.16815,6.609296,4.8312135,17.27657,-6.1709633,-0.8078138,1.4491363,2.6892073,-3.211637,-0.5927584,0.25459367,0.27759483,-1.4297262,0.32057252526283264,0.693162202835083,0,0,40000,40,1000.0,0.0,1000,1000,0.57424211675305,1.4860002423803993,6.902950082406346,-1.0014495607674632,574.2421167530499,575.4847536731374,1686.4564068924196,-25.818155133476623,-0.031571884,0.53307617,0.9974699,-0.99862945,10,574.2421167530499,14.086801350000314,0.020475868994253688,219.79838170700532,233.9056589259999,930.0124890930165,3
201798,16.706493,-3.9540405,17.023064,-4.8207855,12.38695,12.31246,51.62433,68.86396,138.54807,-279.0418,51.996796,68.876595,137.83276,-277.92426,25.728104,60.537186,115.9007,-289.0586,26.230087,60.806103,121.22721,-289.105,46.107567,66.6135,126.644226,-278.38205,46.555565,66.67747,128.27707,-275.91934,-0.33795306,0.71101934,0.99999976,-0.99998677,3.2412858,1.943662,7.230748,-1.9333225,20001,20001,-44.43011,50.267654,68.6468,130.44075,-278.7247,50.77904,68.59867,133.19717,-276.47223,49.8488,68.370926,131.7291,-272.34897,6.6300716,4.9418063,18.278717,-5.5557346,-0.8405092,1.4220154,3.069654,-2.911077,-0.58052725,0.2952775,0.49286887,-1.6069599,0.3608061671257019,0.6423293948173523,0,0,50000,50,1000.0,0.0,1000,1000,2.419953574013567,2.3093993186219586,8.149681994392267,-2.820150544760838,2419.953574013568,1019.7507166339325,3930.260156163926,574.7284012456182,-0.2566758,0.7560531,0.9995744,-0.99949104,10,2419.953574013568,13.881066190995625,0.01975042100821156,215.900585676005,229.80140228800883,1159.8203527090373,4
201798,40.744728,-4.2579956,33.320595,-4.0965576,12.20052,12.244909,108.95874,97.92898,212.4884,-286.44427,108.53731,97.708015,211.12321,-287.933,83.31319,87.30007,194.87946,-300.31512,82.91423,87.054276,193.65062,-301.34503,102.77621,94.99706,207.38875,-284.41736,102.43154,94.71538,200.52286,-286.09152,-0.33774766,0.72501695,1.0,-1.0,2.959202,2.102087,6.3611875,-1.6150838,25001,25001,-101.789536,108.05903,97.75174,210.95311,-280.82178,107.658775,97.36813,209.73466,-281.26974,107.00638,96.91835,207.30975,-280.0716,6.289112,4.882249,17.212864,-4.7224307,-0.79146534,1.3891872,2.568514,-2.9238634,-0.5734782,0.3269805,0.2324464,-1.6752887,0.40103623270988464,0.2641773819923401,0,0,60000,60,1000.0,0.0,1000,1000,4.518072312920711,1.422545158886608,7.84984657909597,-2.7151268200476806,4518.072312920711,311.0060979961213,4959.697524468204,3742.543806105583,-0.43400973,0.73478067,0.9996757,-0.9978669,10,4518.072312920711,12.506907205999596,0.017196415006765164,207.2402809690102,219.76438459001656,1379.5929387140495,5
201798,43.95188,-4.415039,38.73552,-5.733032,12.915115,13.302935,167.29755,110.85177,275.9966,-267.76663,166.98201,110.89644,275.94138,-272.7456,140.054,101.0634,260.12622,-288.58636,138.96622,101.108376,258.71518,-290.09393,160.71927,108.0724,271.7671,-267.43097,160.04724,107.93883,268.74823,-270.37402,-0.34989843,0.7117475,1.0,-1.0,3.1367493,2.0541227,6.474169,-1.8723631,30001,30001,-160.05658,166.23166,110.57312,273.3903,-265.70905,166.12451,110.5396,274.4067,-269.23474,164.84296,110.82896,274.10812,-267.93256,5.945776,4.660769,15.919046,-5.1799154,-0.82900757,1.3893131,3.2084649,-2.8957725,-0.6077616,0.3132172,0.2700402,-1.7278106,0.4278354346752167,-0.04603545367717743,0,0,70000,70,1000.0,0.0,1000,1000,5.06100685648649,1.1328991143787852,7.8042119995485795,-1.3093097858365497,5061.006856486487,91.51627415616858,5227.892362745705,4935.0315415526575,-0.45542663,0.7230919,0.99963516,-0.99732393,10,5061.006856486487,12.532334500996512,0.017756813002051786,207.34369150499697,219.89378281899553,1599.492988852042,6
201798,61.707893,-3.269287,62.62104,-3.0585327,12.227932,12.269552,189.67122,136.45354,321.04846,-296.1222,187.99754,136.16644,317.4565,-304.77695,164.00209,125.824295,297.5899,-310.64117,162.24619,125.97683,293.8216,-325.95593,182.55923,133.04153,314.18475,-296.78928,180.32382,132.69121,310.3915,-304.16312,-0.3245536,0.71163815,1.0,-1.0,2.9408207,2.0953426,7.0090857,-1.5636356,35001,35001,-182.16214,188.90799,136.46165,320.94736,-292.32623,187.09749,135.98772,317.03296,-296.723,187.34828,136.611,317.07108,-295.6639,5.409897,4.9034643,14.6469,-7.7435694,-0.72013015,1.3751638,2.797798,-3.6812863,-0.57438534,0.31753975,0.15947378,-1.8114836,0.4361160397529602,-0.48968949913978577,0,0,80000,80,1000.0,0.0,1000,1000,4.931184684125408,1.571638211374913,8.195419994899748,-1.3268331050489266,4931.18468412541,898.4237112356078,5317.693117619808,2254.0726801966307,-0.4175176,0.716765,0.99833804,-0.99902976,10,4931.18468412541,12.42443865200039,0.013559949002228677,200.62851652999234,213.06651513099496,1812.5689722000243,7
201798,32.39125,-2.4135742,28.91085,-2.873291,12.4210005,12.772458,219.10905,152.45831,339.4293,-312.2607,219.0835,152.48477,340.65076,-314.7389,193.25008,143.12764,324.21365,-324.33218,192.33224,143.02628,323.40128,-327.1669,211.6729,149.70436,338.82953,-312.68823,211.63264,149.64125,333.04013,-314.30234,-0.3624774,0.7010904,1.0,-1.0,3.0422282,2.077511,7.2497153,-1.8214525,40001,40001,-212.31963,218.01044,152.00021,338.68488,-308.2785,217.98164,151.89827,340.1311,-306.6036,219.48259,153.00128,342.72293,-312.3811,5.6979804,4.713768,15.314888,-5.64869,-0.81760883,1.3374162,2.684762,-2.8949451,-0.60479146,0.33455175,0.24029507,-1.796035,0.439120352268219,-0.24856039881706238,0,0,90000,90,1000.0,0.0,1000,1000,5.314864743091154,1.1063885946910517,8.631201631166277,-1.2014597675687446,5314.864743091152,133.7986858209138,5644.802852731954,5126.210920887309,-0.44229773,0.72296023,0.99849343,-0.99773484,10,5314.864743091152,10.517401243996574,0.014496643008897081,195.77259556199715,206.30449344900262,2018.879892395038,8
201798,54.662537,-2.1114502,58.72754,-1.9046631,13.040283,13.411499,262.8403,136.2514,382.29468,-286.54898,262.5042,136.06573,385.20374,-288.77283,235.49203,125.45358,357.8772,-309.9387,234.35815,125.13304,359.39578,-313.91824,255.83598,133.44066,379.0259,-289.5072,255.05962,133.01175,379.77615,-293.5625,-0.3495388,0.70836025,1.0,-1.0,3.31447,2.057873,7.457428,-2.1540253,45001,45001,-255.21912,261.46365,136.25325,379.41617,-293.51657,261.13,136.06546,383.77115,-293.33575,263.34064,136.97108,377.619,-288.47305,6.262287,4.9420934,16.29687,-5.5496306,-0.828729,1.36556,2.335814,-2.9264517,-0.59662634,0.31948417,0.17945065,-1.8722947,0.4385891258716583,0.2161828577518463,0,0,100000,100,1000.0,0.0,1000,1000,5.1359891556400425,1.0385840660685757,7.927184209754364,-1.2236708301401833,5135.989155640042,63.5138822859825,5241.9947060498325,5058.713992029981,-0.45137182,0.72105616,0.9987387,-0.9965704,10,5135.989155640042,10.699601407002774,0.014842560995020904,202.11415829200996,212.82860226000776,2231.7148253790365,9
