replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999000,38.369152,37.823765,38.365906,37.82369,0.00021517876,0.00025854522,0.005822729,0.0014585942,0.010561895,0.0014533033,9.702947e-05,0.0022079195,0.0055261767,-0.006070666,0.0058145933,0.0014550028,0.01029469,0.0018424694,8.7289096e-05,0.0021999918,0.005680112,-0.0061292388,0.005815923,0.0014576337,0.01054611,0.0017113974,9.134071e-05,0.0022043448,0.0056497324,-0.0060521653,0.010397408,0.5762692,0.99930865,-0.9989004,-0.29957622,0.6709197,1.6428213,-2.0929794,1,1,-3.9998064,0.0058101574,0.0014572935,0.010180905,0.002089676,9.905346e-05,0.0021983564,0.005154239,-0.0058177793,-0.3030459,0.6708978,1.6376349,-2.0988529,-3.9997158,0.5425172,-2.2231054,-5.298006,0.00066956395,0.00097364007,0.0041145724,-0.0020633508,0.00027960216,0.0013176624,0.0044867615,-0.00340276,0.9998999834060669,-0.0,0,0,10000,10,1000.0,0.0,1000,1000,-0.0005722324553295157,0.016276842131016406,0.13894042095868753,-0.409621045688633,-0.5722324553295283,0.6349414207431278,0.16237619734647754,-1.5516925829547297,0.0005372972,0.0004456651,0.0019952564,-0.00063803064,10,-0.5722324553295283,10.847120509002707,0.014539044997945894,202.3341300289976,213.19578958299826,228.00409470700106,0
999000,39.595573,37.874493,39.527485,37.85718,0.237453,0.23439026,-7.680288,4.4427104,3.286719,-21.206432,-7.535765,4.405209,4.042468,-20.913868,-7.6870575,4.4441586,3.0645843,-21.048494,-7.546453,4.407569,3.966343,-20.631208,-7.680641,4.4364195,3.323015,-21.338629,-7.5404296,4.392306,3.9400208,-20.896688,0.020027582,0.5709597,0.9985857,-0.99883187,-0.24573421,0.61580193,1.5010703,-2.282306,5001,5001,3.634968,-7.670497,4.4284015,2.7849298,-20.76379,-7.523938,4.393672,3.470521,-20.686901,-7.456334,4.5331783,3.5368345,-20.463747,-4.0818906,0.33499867,-3.1586347,-5.6059723,0.00014651248,0.008762501,0.017741269,-0.019928811,-0.10538689,0.007181742,-0.080827355,-0.12788565,0.606462836265564,-5.041064262390137,0,0,20000,20,1000.0,0.0,1000,1000,6.095564286720596e-05,0.012813616946480385,0.331245320425871,-0.22667651081766402,0.06095564286720765,0.4836916192570519,0.8345369382861482,-0.9048494755473317,-0.00013174904,0.008516644,0.013294304,-0.01526779,10,0.06095564286720765,11.113462482993782,0.013727108998864423,204.93149197800085,216.0586815699935,444.06960784299736,1
999000,41.27028,38.101162,41.406387,38.145172,0.31522366,0.31096965,-15.868594,5.9209075,2.6418686,-31.959337,-15.776709,5.939042,2.2758453,-31.118826,-15.883639,5.9142694,2.6080413,-31.938164,-15.788867,5.935477,2.3811624,-31.10971,-15.884097,5.9156656,2.6343312,-31.949642,-15.78922,5.9326105,2.3843892,-31.065392,-0.003937213,0.57837063,0.99893117,-0.99937147,-0.30590627,0.6521549,1.2594279,-2.0361617,10001,10001,11.929824,-15.884137,5.944225,2.7140803,-31.726593,-15.799193,5.9511113,2.3028808,-31.03286,-15.81934,6.2632,2.1730614,-32.291763,-4.0808268,0.29668075,-3.1836452,-5.2248135,0.0009486405,0.0059227403,0.016236085,-0.014332909,-0.10222891,0.006257709,-0.08447242,-0.12601496,0.36784446239471436,-10.080777168273926,0,0,30000,30,1000.0,0.0,1000,1000,-0.00015120837202871226,0.015319023790022406,0.3697823792736702,-0.34982818539334726,-0.15120837202870718,0.7986808393879149,1.3791319892950689,-1.5676749520242328,-0.00026658704,0.005428958,0.007558215,-0.010989007,10,-0.15120837202870718,11.276822070998605,0.013452874998620246,199.43692968600226,210.72720463199948,654.803692875008,2
999000,40.265503,37.70449,40.202076,37.66713,0.33302385,0.3239778,-17.670128,5.644625,-3.0431643,-37.6385,-17.615509,5.639727,-3.210949,-37.774303,-17.907356,5.6913257,-2.712054,-38.267498,-17.847643,5.679735,-2.6700368,-38.1292,-17.803898,5.667607,-2.8226624,-37.530884,-17.745777,5.663803,-3.248403,-37.960606,-0.0018876195,0.5695474,0.9984019,-0.9991784,-0.25963217,0.68807524,1.6874586,-2.0359004,15001,15001,14.118381,-17.874382,5.7001305,-3.5036519,-36.97478,-17.808884,5.6768646,-3.8515131,-36.47447,-17.826107,6.2568026,-1.8957646,-39.161613,-3.703346,0.9363884,-0.8650805,-6.3993034,-0.0044084634,0.30948478,1.3897018,-1.1050149,-0.20610483,0.079755336,-0.10011863,-0.5154244,0.22393080592155457,-14.519303321838379,0,0,40000,40,1000.0,0.0,1000,1000,0.03927826256616669,0.23108264196098394,2.420754648844628,-0.6107376903901923,39.27826256616669,12.446419107104186,65.96482821881882,26.52325183403979,-0.024109872,0.05486021,0.81148326,-0.60532653,10,39.27826256616669,11.41436333299498,0.01403041400044458,199.29484575699462,210.72323950399004,865.5338790300084,3
999000,40.587067,37.88928,40.741886,37.940136,0.3602988,0.34616143,-16.723715,5.4569807,-3.0110111,-31.883228,-16.729967,5.4707136,-2.95686,-32.344707,-17.051779,5.4550424,-2.970101,-32.027092,-17.050531,5.461166,-3.141061,-32.56718,-16.88239,5.4448576,-2.9181752,-31.966406,-16.886877,5.451534,-2.7701883,-32.410282,0.026129887,0.5750808,0.99827665,-0.999829,-0.22648063,0.65802014,1.4560298,-1.998416,20001,20001,13.766306,-17.068432,5.4208283,-3.5372863,-31.292717,-17.082306,5.4327555,-3.3266864,-31.657803,-17.27418,5.5295324,-2.753449,-30.932663,-3.1198673,1.3070749,0.8827419,-6.248229,-0.005749993,0.4490754,1.9032004,-1.4879739,-0.23768787,0.11973592,-0.038009264,-0.72687817,0.13647343218326569,-18.16246223449707,0,0,50000,50,1000.0,0.0,1000,1000,0.04953141156747732,0.3419817487295034,4.1177738654035565,-0.9360958796801092,49.531411567477164,35.92720095568824,118.59323647790534,11.203600886797794,-0.08028382,0.08246821,0.91692144,-0.77420425,10,49.531411567477164,11.364917345999856,0.013974776004033629,200.74169527499907,212.12058739700296,1077.660767029025,4
999000,39.17734,37.045807,39.09292,36.99759,0.31979108,0.31610757,-16.328825,5.8627024,-1.5099716,-33.258976,-16.361158,5.8939548,-1.5407525,-33.980843,-16.655054,5.7754974,-1.5554453,-33.731205,-16.683731,5.795938,-1.5682354,-34.11024,-16.51373,5.8365493,-1.400005,-34.037033,-16.536324,5.857013,-1.5225531,-33.865276,-0.02676027,0.58581185,0.99753916,-0.9977063,-0.30335298,0.60665596,0.9760244,-2.257157,25001,25001,13.814607,-16.670908,5.7712846,-2.0353258,-32.857418,-16.69537,5.7838454,-1.7656578,-33.52057,-16.419136,5.857506,-1.1855552,-32.580242,-2.7026868,1.7333008,2.3999977,-6.139244,-0.11313451,0.5410628,1.7667433,-1.9248486,-0.30350578,0.16757163,-0.027926125,-1.1062754,0.0832778587937355,-21.630300521850586,0,0,60000,60,1000.0,0.0,1000,1000,0.1572047973797926,0.6470539662388699,4.225436747578778,-1.272357440219931,157.2047973797926,69.19659581843983,277.8307762049589,55.0466168818569,-0.09241065,0.15820783,0.9358885,-0.90773004,10,157.2047973797926,11.442947917996207,0.01407181000104174,200.05209996700432,211.50911969500157,1289.1759722170245,5
999000,38.343613,36.430935,38.397633,36.41602,0.27516863,0.28690764,-14.445303,6.8112335,1.0261087,-31.087072,-14.476834,6.8174267,0.81090415,-31.561308,-14.752713,6.7431183,1.0618331,-31.086157,-14.793714,6.758756,0.8253847,-31.527866,-14.613118,6.780469,0.82249266,-31.167723,-14.647562,6.7966995,0.7481173,-31.558336,0.0018979578,0.5797157,0.99771637,-0.9989561,-0.28490573,0.6735983,1.6628288,-2.374439,30001,30001,12.92074,-14.758136,6.7431536,0.4972337,-31.031786,-14.791475,6.7535114,0.32882145,-31.385818,-14.991365,6.8738127,1.1362027,-31.219786,-1.6871331,2.4882746,7.5658965,-6.552846,-0.12917173,0.6763619,2.1130188,-2.3304417,-0.35179058,0.21014903,0.0051511303,-1.2649064,0.0509285070002079,-22.886398315429688,0,0,70000,70,1000.0,0.0,1000,1000,1.98874607690076,0.9676467687897702,4.395983641533315,-1.4871478923140533,1988.7460769007598,233.43390014791285,2388.5589711040193,1618.1294374151603,-0.07416068,0.38246655,0.98806727,-0.97523135,10,1988.7460769007598,11.365423253999325,0.013700381998205557,199.2058979700014,210.58502160599892,1499.767130643013,6
999000,37.828205,35.955612,37.993484,35.944088,0.26035962,0.2659529,-12.728656,8.024266,8.589962,-32.982094,-12.712027,8.049871,8.253532,-33.30766,-13.038625,7.916463,8.520517,-32.97583,-13.03686,7.9361386,8.185346,-33.353775,-12.887111,7.9817514,8.605972,-32.91407,-12.873413,8.001893,8.230144,-33.343735,-0.015128153,0.5722848,0.999651,-0.9996699,-0.2812677,0.639203,1.2251987,-2.1666355,35001,35001,11.543551,-13.080019,7.908913,8.276369,-32.946815,-13.07442,7.9168677,8.0828495,-33.293343,-12.992817,8.034437,7.9838367,-32.789665,-1.3417559,2.7485776,9.882523,-6.803012,0.0140701635,0.72737324,2.9857774,-2.1827464,-0.4284254,0.27139506,-0.0022775233,-1.4489033,0.031236710026860237,-25.44698715209961,0,0,80000,80,1000.0,0.0,1000,1000,2.2308028005081595,0.9266850749101441,4.507203359767425,-1.3494699754082773,2230.8028005081587,688.7431972977141,2622.0335276646906,191.83722626404582,0.09038854,0.44843286,0.99873555,-0.995671,10,2230.8028005081587,10.619417417998193,0.01388642100209836,196.67613695600448,207.30944079500478,1707.0828807180224,7
999000,36.964718,34.801918,36.966026,34.83811,0.3202769,0.3212834,-9.159838,9.233227,9.325071,-35.546375,-9.140043,9.273093,9.130294,-35.742672,-9.603893,9.089651,9.355351,-35.53317,-9.592985,9.126293,9.137351,-35.62425,-9.392604,9.163231,9.272595,-35.610558,-9.390798,9.19667,9.101334,-35.751083,0.007494343,0.57942057,0.999904,-0.9998942,-0.28510493,0.6952784,1.7238644,-2.596891,40001,40001,9.763563,-9.586606,9.098636,8.728087,-35.442345,-9.584543,9.135956,8.740644,-35.54541,-9.716335,9.287505,9.406891,-39.398167,0.46328342,3.7604117,14.056004,-5.954361,-0.011446563,0.95287466,3.8619704,-3.4232478,-0.5525391,0.3333705,-0.049886115,-1.9207025,0.01924678310751915,-21.871789932250977,0,0,90000,90,1000.0,0.0,1000,1000,3.1290491965334293,0.836112795059369,5.280172470868251,-1.4258718176099152,3129.0491965334304,217.7205766225414,3257.3038890774033,2487.087574676129,-0.042480305,0.4818723,0.99964297,-0.9927229,10,3129.0491965334304,10.55759297599434,0.013355065006180666,196.87276108300284,207.44370912400336,1914.5327324450263,8
999000,36.50219,34.51452,36.577774,34.64274,0.3479533,0.35108262,-7.8730803,11.902279,12.946022,-34.636993,-7.7858353,11.966043,14.184377,-34.439075,-8.393599,11.657571,13.043906,-34.643787,-8.3075485,11.71872,13.677658,-34.453384,-8.145337,11.798258,13.009283,-34.57826,-8.073084,11.84873,13.688752,-34.45547,0.016213788,0.5741175,0.9998695,-0.99883085,-0.34677917,0.7346656,2.5729089,-2.2511714,45001,45001,9.562955,-8.39155,11.668645,12.767699,-34.575485,-8.328275,11.71897,13.8378725,-34.309635,-8.444069,11.768764,14.02334,-34.870518,1.5618062,4.5475836,15.263494,-7.843473,-0.023398967,1.07143,3.2644074,-3.0713265,-0.6521957,0.41163,0.105749324,-2.345082,0.012041417881846428,-19.61374282836914,0,0,100000,100,1000.0,0.0,1000,1000,2.7488762250338743,0.6257845329190893,4.836923619853735,-1.3398892316869173,2748.8762250338746,38.102967197168844,2813.806905634871,2683.2135401541673,0.11563038,0.5227808,0.99892426,-0.99634916,10,2748.8762250338746,10.49431365700002,0.013932863002992235,197.64331408300495,208.15156060300797,2122.69046771204,9
