replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
1199644,40.09655,27.395155,40.11789,27.39512,0.00022574278,0.00026479102,0.0014719774,0.0008784255,0.003464801,-0.0010560516,-0.0016536895,0.0009780417,0.0017825421,-0.004186861,0.0014788214,0.00087417004,0.0034818714,-0.0009143227,-0.0016601768,0.0009732196,0.0018084784,-0.0040805545,0.0014723784,0.0008741736,0.0034421938,-0.001198198,-0.0016569436,0.0009774056,0.0016798916,-0.003979789,0.08440566,0.6327815,0.99987054,-0.9998947,3.4955795,0.7202436,5.1398296,0.823494,1,1,-1.996687,0.001419567,0.0009098867,0.0032281254,-0.0010163495,-0.001706929,0.0010362937,0.0016670753,-0.0034923132,3.4918523,0.7199325,5.1340327,0.82047653,-1.9983809,0.39715794,-0.8214214,-2.853432,-0.00045957035,0.0010793579,0.0022106997,-0.0020349766,0.0011361154,0.00066101266,0.0021541326,-0.0015642261,0.9998999834060669,-0.0,0,0,10000,71,140.8450704225352,14.186531886506712,183,116,0.909651985138542,0.09591916378899737,1.0114922959763994,0.5097143430667671,128.1199979068369,16.846788997029822,182.80675476250397,100.92057144851216,-0.0003797291,0.0011661223,0.001508717,-0.0013644513,71,128.1199979068369,6.845693536102772,0.018762546125799417,118.2685947730206,125.13305085524917,131.98262114450336,0
1199644,30.944233,16.042252,31.482048,16.0299,2.9954567,2.9368944,16.13722,34.26924,75.56122,-68.17757,15.832937,34.22311,75.64955,-69.52072,13.153882,35.44589,74.059814,-68.88483,12.951887,35.27146,74.05339,-70.02611,15.908493,34.332893,75.7751,-67.68158,15.614659,34.234535,75.80815,-69.62221,0.07661744,0.60322833,0.9999998,-0.99982303,3.4320776,0.84529173,5.0486536,0.8547093,5001,5001,-16.768867,18.667177,32.947906,75.567085,-49.773144,18.348843,32.87913,75.829,-48.561028,18.835768,33.27783,74.68134,-53.48955,-1.1706507,1.3473495,5.0002136,-4.27144,0.043711513,0.55464935,1.6827807,-1.8022178,-0.32187632,0.3383421,0.7996523,-1.0192308,0.6122512817382812,-2.045767307281494,0,0,19983,130,169.20338983050848,1.101303711508014,172,167,3.1272733982063947,1.0837945113196592,4.654776944835827,0.997259354892983,529.1452599032956,3.639897760806712,537.6224475800194,520.6315248709969,0.030657122,0.40528038,0.9438322,-0.92791545,59,529.1452599032956,7.98478926718235,0.015183533076196909,120.84770509507507,128.84767789533362,260.8350909240544,1
1199644,29.446775,16.140854,28.601643,16.025833,3.933767,3.7841625,34.537617,43.294884,115.658905,-67.38431,34.862873,43.36283,118.419525,-67.306915,28.71045,44.73164,110.85959,-68.94751,29.277655,44.639008,112.37879,-70.331116,34.249256,43.34382,115.60705,-68.197205,34.56502,43.33229,118.399704,-66.05641,0.035552334,0.6109379,0.99980336,-0.999822,3.553714,0.74266404,5.8595014,0.92966425,10001,10001,-34.641685,35.848778,43.207767,115.986244,-51.126087,36.14333,43.253025,117.38797,-50.88123,37.02875,43.393154,115.702255,-50.78174,-0.2828709,2.2181153,11.524888,-4.926119,-0.0048323125,0.8609629,2.264499,-3.0406766,-0.5049276,0.37934026,0.9001366,-1.4964044,0.37773799896240234,-3.195744514465332,0,0,29426,141,858.4545454545455,232.77158669014554,1000,437,3.510813118301224,0.6959011689855923,5.76902908125671,1.0008014995707317,3013.873479647134,768.1853903654652,3560.135178795434,1634.6365780018753,0.057176925,0.47809398,0.9928957,-0.99655694,11,3013.873479647134,8.996826157905161,0.014242012985050678,109.66267005121335,118.67373822210357,379.5150796417147,2
1199644,28.013409,16.568237,29.162191,16.46576,3.788247,3.798279,103.3063,33.350418,173.57866,33.912724,103.16299,33.534027,169.99016,33.799667,96.30964,30.284136,167.11867,21.183273,96.15849,30.46164,165.60638,21.520498,102.79036,33.29622,173.10959,33.661934,102.5897,33.46617,169.97139,33.83526,0.07666812,0.58339596,0.99993926,-0.9995861,3.510849,0.7435751,5.0838494,0.9428779,15001,15001,-101.23323,102.68643,33.352547,169.22632,33.3783,102.54341,33.54157,167.51538,35.353477,102.75847,33.853886,170.59192,1.1743025,1.479217,2.426925,8.3571205,-5.729361,0.09251052,1.1497376,2.973568,-3.6969938,-1.0167929,0.3978037,0.06080848,-2.0173552,0.2668154835700989,-2.009122133255005,0,0,39404,280,71.7841726618705,5.051906955186026,96,64,1.8438854719700943,0.7128651156889775,4.660915782148229,0.8191604007723235,132.36179308861583,17.32084860035209,224.1559327496618,116.017105576849,0.25422403,0.6933892,0.99986124,-0.99945277,139,132.36179308861583,8.593149461783469,0.016130694188177586,108.53010369511321,117.13938385108486,496.66049237782136,3
1199644,19.141907,12.886475,19.318617,13.413757,4.4608574,4.3004313,161.53922,39.00644,216.44911,8.085062,160.89935,38.96351,216.77792,3.7233977,153.27531,40.07307,216.29211,5.2499475,153.0011,39.734116,215.10892,2.830616,161.04073,38.833584,216.51224,7.1867185,160.48666,38.772198,216.80635,4.3925476,0.08072803,0.61580926,0.9999783,-0.9999322,3.474887,0.8098177,5.1955323,0.8160996,20001,20001,-157.68436,160.93515,38.968925,216.23732,7.8221016,160.19194,38.976227,216.19547,5.6526227,160.18527,39.276836,214.84743,2.7704184,2.9808705,2.8524845,11.432123,-3.876232,0.070804276,1.4124705,3.124821,-3.8880465,-1.1382322,0.47742298,-0.0077696815,-2.4494085,0.1853739470243454,-0.03223973512649536,0,0,49331,401,82.04132231404958,24.875025377025924,169,55,2.1952485665931634,0.9629981689476024,5.513440914605961,0.7536996686486434,180.10109521132506,92.48318306392599,518.6658569855733,103.56606519546739,0.16347137,0.6601199,0.9998661,-0.9993445,121,180.10109521132506,9.473189859185368,0.015805223025381565,109.89583241101354,119.3848274932243,616.0513277994469,4
1199644,14.147716,10.338379,14.266563,9.965942,5.1181545,4.88618,209.11162,29.656225,267.52167,95.86153,209.86739,29.657242,267.23907,98.86109,199.36288,34.059715,266.6651,88.513245,200.58272,33.67996,266.83148,90.93497,208.3543,29.596912,267.5404,95.09377,209.1893,29.50895,267.59476,98.01024,0.047932807,0.61440974,0.9998184,-0.9995975,3.5555604,0.71805614,5.135606,0.94164157,25001,25001,-205.29977,208.44882,29.888935,266.85312,92.00816,209.2572,29.767403,267.09042,95.1124,208.86835,29.773344,266.80014,95.18918,3.5911856,3.1250994,13.438026,-5.2999005,0.05991115,1.5136162,3.3559356,-4.4086885,-1.2234324,0.49039695,-0.24036853,-2.6211896,0.1760217398405075,1.0270075798034668,0,0,59323,528,78.67716535433071,21.04920440629556,161,71,2.040281412544855,0.6841953495223125,6.2087355996936555,1.006939622050335,160.52355806415898,87.67954758349836,505.7270220213034,132.1041877265645,0.22842199,0.43671846,0.99907875,-0.99969804,127,160.52355806415898,9.109199565835297,0.015841183252632618,110.20063633378595,119.32567708287388,735.3833427471109,5
1199644,18.229982,11.422852,17.868916,11.436768,5.8032384,5.673517,242.95952,36.839405,292.8387,38.79706,242.33572,36.93761,292.63748,37.294144,232.10962,35.166237,290.97858,27.687693,231.7338,35.186554,290.75436,30.811184,242.32803,36.579124,292.1319,39.72247,241.72574,36.744175,292.56448,37.281086,0.043621752,0.62383056,0.9999992,-0.9996751,3.4705167,0.7899666,4.890464,0.14996189,30001,30001,-239.15512,242.39914,37.355194,291.54,41.166336,241.74573,37.50514,291.95016,37.64684,241.89197,37.421,291.62808,34.025146,2.9343753,3.068764,13.944725,-4.878352,-0.08723527,1.4017425,3.328693,-3.9428217,-1.2081844,0.4803837,-0.32047087,-2.5215168,0.17953041195869446,-0.11270269006490707,0,0,69297,584,178.10714285714286,106.05653454836322,636,138,3.0569657710371576,1.027724787871683,6.261122157075721,1.0047107075496855,544.467439291511,440.9674582515917,2349.364431732303,377.2761491594668,0.10351742,0.5193817,0.9997417,-0.9995493,56,544.467439291511,8.936977847944945,0.015345432795584202,109.20793619891629,118.16025947965682,853.5498415213078,6
1199644,22.496147,11.80481,24.951797,12.281982,5.3573084,5.369498,267.635,48.526,323.30304,18.640354,267.96484,48.58009,322.7258,21.299204,257.61887,47.853268,316.2236,15.928609,257.90668,48.067635,317.8977,14.375349,266.9233,48.30817,322.8125,18.322622,267.26215,48.344486,322.90826,20.83519,0.058967758,0.60746545,0.99999404,-0.99983656,3.4957519,0.7877343,5.239092,0.87298256,35001,35001,-264.17532,267.0477,48.81717,322.7755,18.014183,267.2666,49.000786,321.71426,17.95992,265.3318,48.534103,322.41,17.412167,3.0423412,3.2533844,13.253546,-4.303776,-0.04918613,1.4298904,4.751954,-4.1005974,-1.2068944,0.4838082,0.077438444,-2.7523878,0.18259505927562714,0.07200142741203308,0,0,79293,658,135.0810810810811,0.8343431913747641,137,133,2.7448556404616795,0.9309925950472098,3.7818146720017682,1.0063405862753032,370.7780673250669,1.7263368484129726,375.1527817842813,366.57170537585506,0.15182258,0.506677,0.9993624,-0.9995524,74,370.7780673250669,8.533522860147059,0.028594763949513435,108.13550222478807,116.69761984888464,970.2537467437796,7
1199644,15.999876,11.112305,15.300456,11.079224,5.103624,4.980956,290.8074,49.946873,342.80713,7.119753,290.88586,49.996418,342.1874,7.0624304,281.29602,50.901222,341.7166,4.3669753,281.544,51.05199,341.2105,4.7437134,290.1162,49.766903,342.70737,6.96548,290.16397,49.79753,342.24496,9.509979,0.083416246,0.59641176,0.99998975,-0.99995005,3.4998786,0.762116,5.814036,0.89913434,40001,40001,-287.5063,290.12866,50.373325,341.87314,9.781437,290.1632,50.578255,342.0017,7.865671,289.62885,50.24654,341.38208,8.375596,2.836164,2.9348638,12.936864,-4.2956634,0.10309812,1.3533692,3.8077765,-3.8575175,-1.2751193,0.50016946,-0.28908497,-2.5426269,0.1920117884874344,-0.2703741788864136,0,0,89106,692,288.61764705882354,27.684158462156393,353,233,3.7135051351661557,1.1853454284035594,6.428971885579562,1.0072555352939085,1071.7831144525142,123.51447368411458,1366.5721281014287,811.6818073038137,0.08107896,0.59737533,0.9992709,-0.99928725,34,1071.7831144525142,8.395488671027124,0.014800993259996176,109.95082978904247,118.3611194533296,1088.6210662052035,8
1199644,16.931686,9.950684,16.692741,9.958862,6.6089864,6.7568398,303.60278,56.24865,356.96066,21.719406,303.9593,56.194317,357.84167,20.845367,291.11948,56.504356,355.1026,11.762665,291.26144,56.439438,356.54315,12.846956,302.5742,56.07819,356.91254,11.044515,302.97748,55.95215,357.74426,11.476464,0.032209024,0.62979114,0.99789196,-0.99979025,3.5269387,0.8158122,5.3885703,0.8779503,45001,45001,-300.2743,302.99823,56.60509,356.76788,19.868885,303.3669,56.542988,357.41672,19.29518,302.8186,56.55841,357.03677,4.9080343,2.9201508,2.9092033,11.879986,-6.5118465,-0.070241176,1.4437287,2.8095684,-3.988621,-1.1873504,0.48814082,-0.11281219,-2.5226219,0.1962873786687851,-0.13000613451004028,0,0,99010,712,495.2,183.11297059465778,939,291,3.7915676913586465,0.9731234492168318,6.263216305370215,1.0059619392687802,1877.5843207608018,720.8351009925984,3597.948411712864,1070.6381959598634,0.04569809,0.5807936,0.9994712,-0.99951047,20,1877.5843207608018,8.413625996094197,0.01493831304833293,109.08447223296389,117.51303654210642,1206.1402820642106,9
