replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999771,38.135494,27.371386,38.092003,27.372095,0.00014107778,0.0001670339,-0.0024120044,0.0010530662,0.00022306223,-0.0041620852,0.0046446053,0.0021467807,0.009546308,0.0015417314,-0.0024181376,0.0010535776,0.00017751148,-0.0041249073,0.004644239,0.0021549265,0.00956256,0.0015574,-0.00241281,0.0010504274,0.0001728693,-0.003964961,0.0046454445,0.0021412286,0.0096022785,0.0015822522,0.026892677,0.6215603,0.9978378,-0.99996114,3.162787,0.8656024,4.8410296,0.78894377,1,1,-2.021998,-0.0023540303,0.0010457663,0.00017613219,-0.0037795068,0.0045638187,0.0021287673,0.009329155,0.0017058044,3.1621678,0.8657434,4.8407307,0.78916794,-2.0244298,0.38233918,-0.8669474,-2.7907312,-0.00010343466,0.0007556791,0.0017819651,-0.0014431563,-0.0015627621,0.0010315712,0.0004185998,-0.0032864248,0.9998999834060669,-0.0,0,0,9986,67,149.044776119403,18.344491902443977,215,111,0.9376509154301833,0.09938957961385265,1.7083153319129822,0.5210452882561125,139.75197076844498,23.97071288316934,251.38281888332202,97.89986695344984,-9.809661e-05,0.0007145175,0.0009851721,-0.0006819413,67,139.75197076844498,6.753930737264454,0.015942643862217665,116.40819140104577,123.17806478217244,129.01765011064708,0
999771,29.90411,13.708633,29.44565,13.378208,3.6406422,3.7432508,6.2709846,18.934914,51.406708,-43.81875,6.0073366,18.89926,52.58749,-42.86223,1.8471184,19.43508,51.684654,-43.200493,1.4461591,19.59316,52.002106,-42.186783,5.6700215,19.128061,51.72341,-42.694576,5.337352,19.086721,51.97924,-41.90602,0.07257839,0.5980495,0.99991274,-0.9999995,3.077487,0.8503283,4.524654,0.7600163,5001,5001,-6.499532,8.612125,18.465513,50.992188,-28.521961,8.49376,18.333246,52.293552,-27.996893,8.910808,18.610832,54.9444,-34.861347,-0.6642696,1.5743922,5.9525986,-4.9151497,0.026881935,0.62830025,1.5896537,-1.8146406,-0.5257003,0.48201865,0.87785065,-1.5243442,0.6171446442604065,-1.7682194709777832,0,0,19906,103,275.55555555555554,12.13453392513478,294,258,3.2882347237902576,1.1214785340987867,5.139486952270927,0.8586887908193527,906.0913461110931,36.69305836223007,961.2156202323795,848.6094641915182,-0.026299212,0.47788718,0.9271314,-0.99480253,36,906.0913461110931,9.271142605226487,0.01537697296589613,128.65744051104411,137.9439600892365,266.9679280654527,1
999771,26.770744,12.780853,26.088694,12.517151,4.4323883,4.5894165,24.33491,27.490467,85.99496,-37.137856,24.24591,27.404945,85.254486,-37.06754,17.255526,28.049227,81.977905,-47.335915,16.927734,28.252434,80.959724,-45.868256,23.445297,27.58866,83.686035,-45.5559,23.261177,27.553396,83.49857,-45.150997,0.00899806,0.61026496,0.9996049,-0.9999943,3.1568167,0.84837085,4.688383,0.71435195,10001,10001,-23.552872,25.51563,27.22635,85.8564,-29.287395,25.511517,27.093403,85.22704,-30.297953,25.423355,27.601536,86.526436,-38.92862,0.16480534,1.7447345,5.571126,-6.285286,0.0020810738,0.8526501,2.4255683,-2.8173902,-0.71476287,0.50591755,0.7304621,-1.7300473,0.38344860076904297,-2.717409133911133,0,0,29724,137,288.7647058823529,94.49278180447854,330,29,3.0838646392955544,0.9124858562023482,4.9651738922963755,0.8263634394666202,890.5112655471694,312.7503866045064,1041.4768374281757,33.22184336475007,0.040575214,0.5252867,0.9763929,-0.99926096,34,890.5112655471694,8.673803350888193,0.015399723779410124,114.34017729898915,123.02938037365675,390.0035496461205,2
999771,15.491004,10.571564,15.650017,10.295746,4.8591957,5.1329684,91.41928,32.0436,148.25565,9.165988,91.657265,31.956667,147.71729,8.937506,82.254005,31.911528,145.96141,2.4693701,82.056175,31.847307,146.84807,2.761886,90.34264,31.943535,148.2283,4.8984394,90.495674,31.934956,147.82309,2.6865299,0.03811122,0.6172807,0.9999974,-0.9999217,3.125866,0.8492328,4.658964,0.7962585,15001,15001,-88.62208,90.97096,32.00598,145.23953,8.443691,91.25821,31.9395,147.23637,7.969611,91.33159,31.98385,146.65376,3.5691404,2.4888008,2.11749,9.718628,-3.2099288,0.007728988,1.2674514,3.3035984,-3.8499932,-1.2046639,0.5745734,0.24378082,-2.3627024,0.28871995210647583,-0.6350281238555908,0,0,39480,165,348.42857142857144,180.87573251336093,1000,284,2.7888969827850394,0.660715001278275,4.049376320273969,0.8224858422341219,971.7313915732444,534.2427603868919,2917.7602237027018,799.3586834308066,0.07646154,0.5436808,0.9915752,-0.9961093,28,971.7313915732444,9.227078997064382,0.01525266282260418,109.41123941494152,118.6535710748285,508.66328327544034,3
999771,11.801559,8.92627,12.058882,8.856567,5.588561,5.611623,137.40596,44.511986,204.60977,-0.3566761,137.58174,44.373672,203.95705,0.6894176,126.90273,42.905083,199.49374,-8.3448105,127.01709,42.753307,199.59753,-7.1864624,136.27034,44.425278,202.41321,-1.5452662,136.45721,44.33435,201.58823,-1.3993878,0.031867575,0.60425127,0.9991456,-0.9998071,3.166218,0.868968,4.7169876,0.7910256,20001,20001,-133.92325,136.96918,44.547153,203.31815,3.3122253,137.1427,44.347633,202.58807,3.2858229,137.29405,44.555798,203.51631,3.4320195,3.1842167,2.2439024,10.205145,-4.3044963,-0.019493144,1.285846,3.0341003,-3.6144762,-1.3706862,0.6142878,0.04065053,-2.6136174,0.2427659034729004,0.2607956528663635,0,0,49297,261,102.26041666666667,127.59989916333419,329,24,2.677950018360072,1.1115228592479591,5.20280896560373,0.8024953270320185,273.8482846900086,412.64134289659694,1007.0040536229054,24.719352552716757,0.06699613,0.54921746,0.99479944,-0.99991304,96,273.8482846900086,8.636745038907975,0.015614282805472612,110.19189123669639,118.84425055840984,627.5136902793311,4
999771,14.546365,9.311279,15.152695,9.718262,5.615445,5.41821,170.28366,49.423683,241.72372,3.4567313,170.3697,49.50013,241.32996,0.98587775,159.91194,48.846344,239.83939,-13.132775,160.34969,48.55448,239.94435,-14.97279,168.86784,49.762424,241.61458,-14.968027,168.938,49.66136,240.72256,-15.190956,0.01730497,0.5955514,0.99986297,-0.9999985,3.156297,0.8813495,4.5425925,0.84423995,25001,25001,-167.1601,169.85986,49.47767,241.76532,1.471021,169.93526,49.509647,240.47145,0.39250416,171.03023,49.84801,244.35654,3.6399655,2.7233725,2.2114387,9.492706,-2.814917,0.068299584,1.2459596,3.0748703,-3.8160791,-1.3316425,0.5783986,0.110988006,-2.4824533,0.25178036093711853,-0.381537526845932,0,0,59047,294,295.45454545454544,2.6180134626006275,302,290,3.106328139377614,0.9292846381289023,4.484515718431738,0.825910710445228,917.7787684524768,5.435463961561823,929.7198707007237,908.2156938271845,0.018367494,0.56627196,0.9951315,-0.998508,33,917.7787684524768,8.448771826922894,0.015285344328731298,110.23895122809336,118.70300839934498,746.2229538732208,5
999771,12.278328,8.1658325,12.194136,7.901367,5.8936505,5.761839,190.85521,63.81255,263.95856,0.5052391,190.8936,63.679527,264.53436,1.4621997,179.95123,63.129086,262.37308,-25.371002,180.14255,63.011314,263.54407,-15.4152565,189.3303,63.960655,263.9107,-25.050291,189.35117,63.699326,264.12857,-15.680036,0.035004843,0.6194423,0.9999654,-0.9999998,3.143875,0.8510714,4.6126075,0.8441484,30001,30001,-187.4895,190.55678,63.66824,263.75494,2.303736,190.65439,63.617428,264.21646,3.3704906,191.12686,64.088806,264.5285,3.4098024,3.0259717,2.0435905,10.249157,-1.7663037,-0.023183128,1.290516,2.8632917,-4.2743516,-1.2868706,0.575482,0.3230785,-2.4551477,0.2623184621334076,0.0347546748816967,0,0,68963,333,254.25641025641025,105.13793575979932,310,26,3.0992838992177956,0.953742894784599,4.612799784474815,0.8033970058564434,788.0127985806068,352.4977414951178,963.437268745272,28.25418130542527,0.019585283,0.54959756,0.9965567,-0.99897254,39,788.0127985806068,8.617141492199153,0.01527711283415556,109.5925210909918,118.2249396960251,864.4540675035678,6
999771,14.619752,10.098022,14.482261,9.820435,6.041106,5.8658085,212.96362,65.12725,288.86508,12.229929,213.17041,64.7439,289.75348,14.203129,201.9088,63.06598,286.54285,-0.43017906,202.33939,62.65542,288.6878,-1.56738,211.6888,64.94232,288.51868,7.9034553,211.93103,64.539055,289.1283,10.185816,0.0326502,0.60090643,0.99999624,-0.9999927,3.1450696,0.88726383,4.6169453,0.83251125,35001,35001,-209.86426,212.57758,65.07282,288.3983,13.634274,212.81232,64.57491,288.99176,15.831388,212.25891,64.815254,287.3173,12.2492695,2.6860437,2.0206447,12.723907,-4.2692995,0.086915396,1.2125969,3.156792,-3.4887567,-1.33907,0.5993578,0.33966386,-2.499881,0.26853811740875244,-0.41277042031288147,0,0,78953,370,270.0,4.555958379611996,280,262,3.098179982707854,0.960297204134673,4.686602598989426,0.8154924033273474,836.5085953311208,8.816219453146505,856.072429495962,820.5254784399642,0.017111281,0.5720299,0.996538,-0.99807864,37,836.5085953311208,8.22437039297074,0.018054285552352667,110.83914892375469,119.08157360227779,983.5418820432387,7
999771,15.098228,8.715454,15.248376,8.651123,6.273489,6.205097,238.62027,65.28752,304.6485,4.5059643,238.82608,65.24257,306.5203,4.6640215,227.00815,64.28075,304.2392,-19.953375,227.28413,63.919815,305.40683,-13.961224,237.13847,65.25279,303.1551,-18.265133,237.21045,65.08621,304.7705,-12.892493,0.043665852,0.6118933,0.9987807,-1.0,3.204599,0.7799002,4.810006,0.82125056,40001,40001,-235.14438,238.0618,65.398384,303.72552,4.9066734,238.25256,65.32852,305.46423,5.230769,237.36827,65.226906,303.75092,3.9158492,3.0610375,2.2211597,9.471743,-3.3620982,-0.055923983,1.2815679,3.0397513,-3.8370426,-1.3623725,0.5979715,0.43806732,-2.434578,0.27148497104644775,0.07958080619573593,0,0,88937,401,322.06451612903226,233.43092305362862,823,25,3.088286018983662,0.8540289458516885,5.125666923178768,0.7988049320801797,994.6273423720287,761.1688803087969,2657.5994686996924,26.41471253540639,0.09493032,0.58889776,0.99746025,-0.99982077,31,994.6273423720287,7.997149787843227,0.015621643047779799,110.03087400784716,118.04364543873817,1101.5917163370177,8
999771,12.281265,8.442627,12.689224,8.070923,6.0913925,5.9925985,239.82825,66.08162,312.8768,4.098402,240.15877,66.19,313.68616,0.8125138,228.53625,64.64891,309.8976,-14.735075,229.06006,64.44184,309.97034,-19.637497,238.22534,66.07996,311.5431,-12.842209,238.5149,66.156075,312.04193,-14.636736,0.054497834,0.60486245,0.9995756,-0.9999991,3.1174629,0.8848387,4.7229705,0.7949015,45001,45001,-236.5632,239.3648,66.128006,312.27884,4.8784075,239.72566,66.27948,312.51462,0.90877366,239.1999,66.26185,311.5819,3.964786,2.9327657,2.2069368,10.74098,-6.3407526,0.028390223,1.2758579,3.4576137,-3.609704,-1.3645492,0.5720869,0.43933973,-2.424072,0.27408748865127563,-0.08702212572097778,0,0,98709,428,361.9259259259259,275.921073782841,1000,26,3.010308264089235,0.7563561839525467,4.47021221299933,0.7951402756560874,1089.5086058029633,863.1329006730866,3154.6665896627756,28.007417268117145,0.090596445,0.5859368,0.99530214,-0.9989089,27,1089.5086058029633,8.034790521021932,0.015030073001980782,110.91554505983368,118.96536565385759,1220.5718709006906,9
