replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
1998048,54.829063,37.79553,54.814835,37.79583,0.00026224405,0.0001837125,-0.0030702846,0.0012261069,5.509751e-05,-0.0067267776,-0.0011255622,0.0008218634,0.002185591,-0.004106301,-0.0030620869,0.0012234142,7.1782386e-05,-0.0069794403,-0.0011325682,0.00081299327,0.0021894546,-0.0041117356,-0.0030540442,0.001228342,-9.039347e-05,-0.006824734,-0.0011282548,0.0008187089,0.0021763677,-0.004195385,0.23540407,0.69358313,0.999998,-0.9999987,3.7003317,1.8267039,7.559397,-0.7309614,1,1,-4.024411,-0.0030073146,0.00126188,-7.918745e-05,-0.006911846,-0.0011349864,0.00079719,0.0018468722,-0.0037707882,3.6979113,1.8265448,7.5570674,-0.7309614,-4.0275636,0.49774486,-2.565925,-5.186923,-0.0001444076,0.0010598139,0.0028406484,-0.004032259,0.0004172934,0.0011854488,0.003148863,-0.003120468,0.9998999834060669,-0.0,0,0,9982,108,92.42592592592592,2.864869280528002,101,87,0.8958008126680981,0.07669922795490935,1.0044226439147028,0.6457865013066219,82.79521955604588,2.8403279240857855,89.16282401483109,76.66894619764503,-7.060918e-05,0.00087686226,0.0017700237,-0.0017493397,108,82.79521955604588,22.845872696023434,0.055625827983021736,230.69029839057475,253.5917969145812,353.9140939116478,0
1998048,44.498768,17.123718,43.013977,16.59205,4.3989544,4.4849353,-11.1942215,26.131159,55.38997,-107.69232,-11.076545,26.242239,56.503937,-104.71892,-16.478834,25.470972,54.14411,-104.74135,-16.484777,25.608364,53.5064,-102.84839,-11.686844,26.213873,55.886604,-106.30504,-11.530736,26.321245,54.470783,-103.58861,0.25326344,0.6862823,1.0,-0.9999969,3.446241,1.8635824,7.17836,-2.548407,5001,5001,10.24607,-7.2371025,26.415234,57.072002,-91.449524,-6.9670734,26.55431,58.542797,-92.20997,-7.5298505,26.759846,59.835037,-91.02779,-2.4241521,2.1636825,5.4417043,-7.585764,0.2534851,0.5861049,1.7181869,-1.6118019,-0.065170266,0.2825378,1.138548,-0.881238,0.6119223237037659,-4.136697769165039,0,0,19857,174,149.62121212121212,11.73542313282822,170,101,0.19067372779306832,0.6573445334370088,2.364376047598136,-0.9865214248926578,28.52883427206894,2.3631854239424808,31.46720745870829,12.851897578020294,0.40810543,0.29520866,0.92028534,-0.66656774,66,28.52883427206894,32.733213633298874,0.043240927159786224,230.8708124961704,263.64726705662906,617.5883341711015,1
1998048,56.22062,13.339937,55.6886,13.283661,5.5191793,5.6910124,-8.269247,36.68264,72.77641,-104.99735,-8.302797,36.87203,71.51643,-105.67851,-16.834017,35.30577,66.03895,-109.93378,-17.226189,35.55264,67.702774,-114.24136,-8.78101,36.714863,72.7033,-107.92133,-8.811449,36.81263,71.43173,-110.79776,0.25817308,0.6960432,0.99999946,-0.99998933,3.7729034,1.7742671,7.5714,-0.54788816,10001,10001,8.513122,-5.39507,36.834866,71.9815,-100.69858,-5.398301,36.85563,71.29092,-101.838646,-6.0150146,38.028313,68.52067,-105.61329,-0.8937689,2.7754023,14.150572,-8.970562,0.36057052,0.83241254,2.5195942,-2.535605,-0.23331237,0.34452286,1.0863674,-1.4060518,0.3773064613342285,-6.718679428100586,0,0,29727,251,128.1818181818182,30.096695798590854,232,81,0.9128944704424901,1.271152207355979,6.33462901269519,-2.354722731659798,117.01647302944649,105.92291825738546,448.9856649405752,11.666077811751848,0.2479736,0.48497158,0.9937316,-0.9976539,77,117.01647302944649,26.385253326036036,0.027650173753499985,214.77513090195134,241.18803440174088,858.8108692108653,2
1998048,34.895233,10.89151,38.215008,10.861053,6.890261,7.063575,88.89122,51.289825,185.1105,-12.184813,89.13472,51.72471,187.42593,-12.855944,75.56979,49.23527,178.42798,-28.98677,75.423294,49.813755,178.01736,-31.422663,88.46114,51.23024,185.36208,-21.62993,88.60997,51.707787,187.19345,-20.538168,0.23505025,0.6954591,0.99999976,-0.9999933,3.7197137,1.854318,8.361851,-1.950478,15001,15001,-83.25768,87.56088,51.436855,182.25632,-11.02967,87.71457,51.821323,180.86601,-11.906396,88.003265,52.694294,185.83456,-15.113268,4.7345448,3.8015192,15.942224,-6.9171786,0.6049669,1.3725618,3.4277582,-3.6991124,-0.61234933,0.24284062,0.14680585,-1.601197,0.27449357509613037,-1.6359237432479858,0,0,39697,388,72.77372262773723,3.928173923799629,85,68,1.9580947762954504,2.0905753994565908,7.9656762556079315,-4.74175829565285,142.49784612894632,5.320878375579665,169.28217182356698,131.19704358885897,0.21305113,0.75048786,0.9995317,-0.99998605,137,142.49784612894632,26.41122559690848,0.04684202093631029,221.12519103195518,247.58325864979997,1106.426601708401,3
1998048,40.32669,7.848938,39.034355,8.006836,9.033194,9.059997,164.59784,60.66726,278.40076,-5.666469,165.6388,60.60029,276.1435,0.70311666,146.99736,59.296646,267.0384,-21.857319,147.9491,59.37871,266.65326,-11.058777,163.47554,61.10905,278.26746,-10.671145,164.50285,61.233875,276.1721,-7.7150407,0.2616489,0.68268937,1.0,-0.99999994,3.6584206,1.7421236,7.94869,-2.2726727,20001,20001,-157.15091,162.4405,61.504063,273.6741,-4.8951283,163.41379,61.4296,275.03842,-3.5510054,163.44467,62.114937,271.86438,-8.340117,6.641713,3.936633,18.46097,-4.329898,0.6933077,1.4806201,4.1491094,-4.0256333,-0.7465494,0.29332528,0.22158441,-1.7397047,0.224909707903862,0.9575093388557434,0,0,49672,708,31.171875,0.37727176461405115,32,31,1.153484414971608,1.6339528761295146,3.5610568806125,-1.3881197760184818,35.95627199794309,0.8469799011427454,38.272432836119634,35.14853331524158,0.44289556,0.7068699,0.9995677,-0.9966493,320,35.95627199794309,28.728872934356332,0.05139898415654898,241.67890815483406,270.45918007334694,1376.9010425838642,4
1998048,52.69706,10.713135,47.293686,10.137695,9.286274,9.049902,216.59958,71.92965,342.8731,-4.507423,216.10005,72.945526,342.14862,-5.575566,198.56786,71.08236,335.02054,-16.216673,198.5604,71.640724,333.49316,-18.43139,215.2498,72.45862,343.20868,-4.876075,214.89853,73.501625,341.89136,-5.6117,0.2618109,0.68365836,0.99999994,-0.99999976,3.7360125,1.7500737,7.5229,-1.2076939,25001,25001,-209.07376,214.2156,73.052574,336.39807,-2.6108406,213.93677,73.55766,338.30344,0.11360494,213.2757,74.04152,342.0002,-7.359112,5.927554,3.7117996,18.684937,-9.800678,0.66421604,1.3887334,3.2887754,-3.8627603,-0.75560427,0.28749567,0.083247155,-1.6955595,0.23064395785331726,-0.10627131164073944,0,0,59654,1030,31.0,0.0,31,31,1.136080068026978,1.632817525966464,3.606550061235483,-1.37132655768097,35.21848210883632,0.1759859682945719,35.75133252561274,34.70773481287486,0.4430414,0.69463366,0.99956566,-0.9983677,322,35.21848210883632,25.89565809397027,0.06159991305321455,210.67276457929984,236.63002258632332,1613.5488358470611,5
1998048,71.096344,11.746582,68.17474,12.535156,9.648755,9.430863,258.01562,89.62182,397.22232,-1.5480528,257.2565,89.08493,400.34335,0.6363621,239.31088,88.978004,389.99207,-13.975967,239.08237,88.31726,392.42987,-13.464828,256.84094,90.04266,394.85742,0.09870279,256.10138,89.658134,401.11023,-2.4688845,0.24173611,0.687569,0.99999857,-0.9999706,3.5937274,1.9199425,7.264659,-3.3730574,30001,30001,-249.54543,255.43118,90.67056,391.59982,-3.5063682,254.73637,90.40951,396.63782,-0.85835403,254.97717,90.76434,391.05765,-6.2852163,6.280002,3.6906292,22.442917,-3.7045567,0.6424133,1.41081,3.7755165,-4.4679766,-0.77837056,0.28656623,0.010942608,-1.6499653,0.23268122971057892,0.4082561731338501,0,0,69636,1352,31.0,0.6002070036287223,33,30,1.079668583680165,1.6644735112392917,4.961537169586274,-1.3625637588341195,33.46972609408511,2.937130467563427,43.855086645479496,28.678373725275332,0.44707638,0.69774836,0.9993359,-0.99621546,322,33.46972609408511,26.217457490973175,0.06091073201969266,221.89618925610557,248.17455747909844,1861.7459402955137,6
1998048,65.28541,9.55835,70.13534,9.312744,10.864325,10.85693,294.96005,92.5338,427.20285,6.849448,293.63654,91.535675,428.774,3.3181934,273.88773,93.23082,426.02057,-12.70364,272.62366,92.306,425.01367,-19.265629,293.67618,93.31414,425.95255,6.824271,292.38834,92.303024,426.3924,3.1162157,0.2997019,0.67730385,0.99998844,-0.9999966,3.6603088,1.8435447,7.7994337,-1.2731792,35001,35001,-285.8309,292.20026,94.246765,425.4652,5.8870974,290.9914,93.40767,424.67917,-0.14337093,292.81235,94.14992,428.36206,4.1470494,6.612095,3.7070506,20.422747,-3.5977902,0.59595054,1.4833611,4.002648,-4.3100657,-0.8149975,0.2750068,-0.023814015,-1.759378,0.23402242362499237,0.8889725208282471,0,0,79559,1439,114.05747126436782,7.80414909075829,176,106,3.6673372674877935,1.7730539571865755,6.347787704654657,-1.2921870407757436,418.2872150032343,33.55595291112789,673.2526807489302,374.20418138024337,0.29464966,0.6921982,0.9990612,-0.9996612,87,418.2872150032343,27.361719916108996,0.06153335329145193,220.31391930300742,247.73717257240787,2109.5132538536564,7
1998048,82.76695,11.254761,84.564835,11.678101,9.91862,9.94852,298.27444,117.40359,469.64438,-25.655315,298.0555,118.080025,468.32056,-23.775436,279.29166,116.40219,462.77292,-39.405304,279.1294,117.142685,460.33807,-38.390373,296.86224,118.55305,470.01205,-28.465027,296.70004,119.21816,468.21436,-25.242573,0.25784072,0.69040596,0.99999964,-0.99999213,3.5812597,1.7808256,7.7402864,-0.9968324,40001,40001,-290.73016,296.22418,118.19427,465.4062,-21.972626,296.00354,119.26877,465.26968,-20.617231,297.12018,119.987305,465.55212,-23.843077,5.695038,3.680579,17.484533,-4.7460995,0.65075284,1.3953259,3.8998492,-3.704993,-0.7711007,0.28108194,0.045320034,-1.7288487,0.23795989155769348,-0.4378198981285095,0,0,89416,1456,579.8235294117648,226.69498432244816,1000,324,4.440513508223456,1.242454244194993,8.225926416546216,-1.0610578256447842,2574.7142147387412,1099.4811702031795,4713.342985219242,1357.8902313398635,0.34886193,0.65454066,0.9984383,-0.99990445,17,2574.7142147387412,27.534508225042373,0.03668934106826782,212.68978936690837,240.260986933019,2349.7962618549354,8
1998048,87.42266,12.3914795,85.55589,12.449585,10.209367,9.826899,318.21344,118.283165,471.6627,-8.337379,317.74945,117.923386,472.02628,-13.631508,298.64508,116.27184,467.94943,-20.007782,299.1447,116.65665,464.6532,-21.200397,316.77414,118.16923,471.48425,-6.817447,316.55,117.87957,472.2703,-11.91759,0.2558289,0.6813428,0.99997026,-0.9999961,3.555276,1.9066106,8.005765,-1.4354978,45001,45001,-310.09137,315.86014,118.67689,467.08313,-6.595654,315.66473,118.53149,465.42114,-17.012962,316.0703,117.922615,469.45792,-21.156252,5.877732,3.319643,17.508343,-3.085885,0.6253532,1.3986924,3.6286955,-4.595275,-0.78411275,0.2775541,-0.10423091,-1.7671188,0.23804332315921783,-0.17549248039722443,0,0,99247,1478,446.8636363636364,289.31616795699875,1000,159,4.028320400499584,1.584989342756663,9.70523156972361,-1.310782330395355,1800.1099026050636,1426.1615704511375,4625.049727926328,470.68025980447175,0.41235566,0.63692504,0.99877787,-0.9998337,22,1800.1099026050636,24.065820816904306,0.026123992167413235,209.35642915591598,233.4483739649877,2583.26312423544,9
1998048,75.89444,8.726807,80.89758,9.993042,10.905888,10.808369,336.62714,123.67121,495.5736,10.778349,336.5002,123.98594,492.93298,11.437846,315.7234,122.19396,484.37637,-2.6541252,315.7837,122.509575,487.3059,-3.8278189,335.32758,124.052635,495.9903,11.520226,335.15637,124.34631,491.84515,12.000234,0.22471946,0.69436145,0.9999884,-0.9999916,3.7944102,1.8381371,7.992891,-2.0892775,50001,50001,-328.12802,334.28748,124.55993,487.6606,7.4188004,333.93784,125.00264,487.59238,13.009334,333.4233,124.87262,486.6244,7.482811,6.590954,3.8430958,22.82125,-4.789544,0.6414312,1.4421756,3.4547844,-4.4167814,-0.7940652,0.27146843,-0.0780033,-1.7868448,0.2408718466758728,0.8411980867385864,0,0,108740,1500,431.5,263.70519869388585,1000,176,3.988974534950054,1.5397451768592545,9.231551946045487,-1.1740318699213863,1721.2425118309484,1299.7872526751505,4691.049790387183,446.5569043657016,0.40208486,0.6726082,0.9990185,-0.9997263,22,1721.2425118309484,25.00816726917401,0.04755112063139677,216.33021865179762,241.38593704160303,2824.6600969471037,10
