replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999231,46.982998,37.781967,46.93901,37.782425,0.00023110562,0.00030184162,-0.004039672,0.0015290462,0.0002918,-0.008624513,0.004858314,0.0021979567,0.011074761,-0.0027376823,-0.004037127,0.0015253006,0.00014625792,-0.008474741,0.0048564225,0.002208614,0.011035604,-0.003205264,-0.004027165,0.0015263475,0.00027510012,-0.008541839,0.00484806,0.0022090487,0.011258591,-0.0029853168,0.22968052,0.6738374,0.99998647,-0.9999911,2.638113,1.4957016,6.1258836,-1.2087876,1,1,-3.9743385,-0.0040342384,0.0016223359,-0.00023449794,-0.0083241,0.0047668978,0.002210882,0.010353423,-0.00206515,2.6351209,1.4958742,6.1216774,-1.2116961,-3.9783773,0.5428473,-2.3120701,-5.310346,0.00045784222,0.00119762,0.0043354467,-0.003220715,0.00030742338,0.0017908134,0.0049742754,-0.0042361934,0.9998999834060669,-0.0,0,0,9950,76,130.92105263157896,33.12725192261801,244,104,0.7673459370242556,0.3348834430797868,1.027333654926757,-1.2054936327190293,100.46173780778082,13.954164146738531,132.73029789220416,82.41438635517136,0.00039847565,0.0009972659,0.0025508828,-0.0019260603,76,100.46173780778082,23.958946626167744,0.06507626594975591,212.6401585638523,236.6641814559698,284.15151360537857,0
999231,42.51362,13.628647,40.6626,13.8411255,5.4448113,5.074203,-43.797787,20.347229,5.5752316,-111.99667,-43.68421,20.313787,9.715336,-111.438736,-51.006676,20.50832,-1.4028778,-114.38992,-50.354088,20.348476,-1.8023491,-114.72157,-44.493153,20.306133,3.88793,-111.95706,-44.382843,20.271803,8.161214,-112.42119,0.22424085,0.6843612,0.99996275,-0.9999996,2.8168545,1.54576,6.1110444,-2.791197,5001,5001,42.977455,-39.319656,19.978281,1.6452291,-103.03889,-39.456127,20.161882,3.1475334,-103.928154,-38.421574,21.053125,3.3556557,-114.02974,-2.1566691,2.2097359,4.8774853,-7.9939933,0.2635063,0.6694025,1.8460169,-1.9004719,-0.17461933,0.31293765,0.8560114,-1.0987817,0.6140291690826416,-3.977323055267334,0,0,19923,164,113.32954545454545,1.7302232574616367,118,110,0.20004323164704058,0.665356491126554,1.3927644101757586,-1.0454334956678777,22.670808513817448,1.4493063972896483,26.326486137738943,19.943797662420298,0.328677,0.32623696,0.93192697,-0.50854766,88,22.670808513817448,26.399221676867455,0.027921183966100216,222.1721782241948,248.59932108502835,532.7558158552274,1
999231,55.72777,12.685669,59.963886,14.211182,6.4464664,6.222252,-60.040478,25.473402,-12.884159,-150.50404,-60.442787,25.572138,-11.924648,-147.5098,-70.60217,23.704842,-20.963707,-156.36201,-70.566765,23.81323,-22.182909,-154.21687,-61.07313,25.47955,-13.824692,-148.38966,-61.51647,25.556057,-14.095144,-148.77834,0.2337969,0.6786289,0.9999963,-0.99999857,2.5614238,1.5717407,6.7564754,-2.5086389,10001,10001,60.523766,-57.426155,25.144886,-12.280827,-137.65186,-58.088364,25.31376,-14.5232525,-141.64122,-57.482178,26.133368,-0.23174082,-137.27539,-0.3795278,2.6328683,9.184851,-7.1982594,0.34655508,0.87004715,2.52822,-3.173343,-0.36952797,0.37735143,0.97229,-1.4984016,0.381065309047699,-6.154264450073242,0,0,29815,215,193.9607843137255,236.8866661080294,1000,34,2.7861923395583243,1.4792740480607267,7.310550800433684,-0.9258197661049691,540.4120514296266,889.8817488338323,3704.611417419959,13.95002018175722,0.20799765,0.58994275,0.99248517,-0.9997817,51,540.4120514296266,25.567438951227814,0.039767324924468994,206.41276702983305,232.01997330598533,764.8090305197984,2
999231,21.36633,5.909836,20.306976,5.839813,8.04467,7.540457,30.467474,29.794462,101.61903,-34.10148,30.419147,29.73098,99.2697,-34.50886,14.715724,27.62609,97.01887,-53.221428,15.510547,27.822985,93.32371,-48.126675,29.020985,30.495485,101.96461,-38.906555,29.026348,30.361507,98.57835,-37.593056,0.21486823,0.7026555,0.9999992,-0.99999976,2.6730142,1.5899925,5.72601,-1.7761247,15001,15001,-24.629004,29.590576,29.88039,100.76701,-31.260363,29.40258,29.819208,98.375114,-31.970207,29.974606,29.980429,89.30444,-37.68499,4.939416,3.5819356,16.599968,-7.1828485,0.50262034,1.3810005,3.3210125,-4.2128377,-0.7075426,0.31162235,0.15895188,-1.9431057,0.2755347490310669,-1.367065668106079,0,0,39542,250,277.9142857142857,287.215734888162,1000,52,2.761939473474805,1.3767624069579922,7.227257768201962,-1.6289630096084176,767.582435956841,907.3998942628726,3018.3024556160253,102.53343161118283,0.39680704,0.6451839,0.9999813,-0.9996907,35,767.582435956841,25.974489842075855,0.024438960943371058,216.30621061194688,242.3051394149661,1007.1339841312729,3
999231,25.556149,4.937622,27.52739,5.6731567,9.097326,8.560211,88.33518,41.194893,161.30379,-4.631199,88.69611,41.35206,161.94885,-5.351898,70.51481,37.875416,146.86086,-20.570145,71.77574,38.334766,146.75229,-20.306744,87.00813,41.755558,160.76198,-23.841345,87.44299,41.85244,162.08716,-17.675709,0.23762476,0.6770886,1.0,-0.9999996,2.6380491,1.5370569,6.5145607,-2.7648857,20001,20001,-81.29851,86.879196,41.693962,159.35107,-3.9794006,87.08638,41.75744,159.67242,-4.7085996,87.626526,41.65444,159.27887,-5.8822994,6.24298,3.3361008,17.452389,-3.265698,0.5451618,1.4385862,3.1824915,-3.5884185,-0.81988126,0.35043138,0.08076229,-2.2409635,0.22220082581043243,0.36549490690231323,0,0,49481,293,231.13953488372093,259.14722235748087,1000,57,2.562440336811636,1.4540178885230761,8.323726206337719,-0.9278418236165683,592.2812676179266,833.1479674144733,3174.1918764506995,122.8304276235511,0.30501458,0.69479096,0.99964136,-0.9998275,43,592.2812676179266,21.81918783299625,0.02915966510772705,194.74545684177428,216.59380433987826,1223.7484080460854,4
999231,65.344795,3.4657593,69.31978,4.8554077,10.443652,9.8456335,136.19199,58.758823,222.26964,-11.331701,135.95895,59.00081,220.4574,-13.431851,115.81987,54.604168,212.10509,-36.369213,116.72837,55.291348,212.991,-36.432545,134.19437,59.44464,222.85968,-12.745628,134.10442,59.39865,220.44733,-20.918354,0.25516498,0.6754699,0.9999999,-0.9999989,2.8580434,1.542032,6.2085953,-2.3484838,25001,25001,-128.38109,134.92542,59.216488,220.9748,-10.9860325,134.63315,59.588844,218.919,-14.473869,133.96321,60.471714,219.64636,-16.369772,6.693517,3.2825274,18.466,-2.7499056,0.61457837,1.4015495,3.2805018,-4.065105,-0.86891794,0.35666233,0.088797376,-2.1106925,0.23410838842391968,1.0070184469223022,0,0,59452,371,127.83333333333333,109.10679509106083,698,51,2.463017595414705,1.5764670140870656,7.686719450691736,-0.7908979115918335,314.8557492805131,351.2321463534557,1955.4762742418818,112.46393420432234,0.20883559,0.75110674,0.99912226,-0.99975383,78,314.8557492805131,16.790117730852216,0.04085480608046055,187.53146430803463,204.3624368449673,1428.1285439650528,5
999231,70.34963,6.777527,77.222046,5.779663,10.314869,10.134277,159.06453,66.70049,268.6095,2.9357204,159.77287,66.211105,270.53152,1.9262762,139.07681,62.76474,253.6514,-24.095945,140.09079,62.839314,255.34329,-22.848913,157.0322,67.038795,267.70792,0.9047508,157.5566,66.61978,270.12473,0.30903006,0.26922485,0.6705868,1.0,-0.9999976,2.673136,1.4046222,5.879817,-0.87096184,30001,30001,-152.4267,157.73553,67.18114,268.35532,2.2094815,158.5992,66.47839,270.30807,1.5330092,157.92404,68.05115,268.7456,0.769558,5.6708984,3.153475,13.17819,-5.4647217,0.54672056,1.326012,3.4776082,-3.8854933,-0.88811845,0.35225657,-0.07550573,-2.004582,0.240218847990036,-0.4693536162376404,0,0,69356,487,85.37931034482759,35.412508790464436,224,56,2.420006868130796,1.9354354963262401,7.976410960017002,-0.6615997553124191,206.61851743075346,111.71191098722917,677.6163480579332,112.21057038149875,0.17260261,0.73405844,0.99874246,-0.99994177,116,206.61851743075346,21.046040477231145,0.0520014138892293,208.2225356893614,229.32057758048177,1657.4662558492273,6
999231,168.62314,5.8233643,156.23701,7.1083984,11.05168,10.841848,178.7853,78.81415,295.87952,-7.2921314,179.46742,79.033844,295.9334,-9.783462,157.42113,74.930305,282.6716,-40.75324,158.53084,75.33094,282.38757,-34.17065,176.96361,79.269485,295.79837,-8.79669,177.74136,79.48474,296.66583,-10.186797,0.2706333,0.651477,0.99995255,-0.9999996,2.767892,1.4786136,6.785496,-1.847234,35001,35001,-171.89532,177.29553,79.383514,295.40448,-8.108565,177.84364,79.4243,295.1793,-8.699706,177.56842,81.30266,298.3095,-18.456875,5.767916,2.940398,14.530447,-2.047422,0.63735217,1.3030244,4.2129383,-3.468402,-0.9062543,0.36373726,-0.04095429,-1.9702294,0.24329249560832977,-0.328054815530777,0,0,79350,641,64.8961038961039,16.15596421219016,125,53,2.217060716324162,1.9253908341789783,7.600703436904635,-0.5903226869344932,143.87860259054335,45.78435369209276,316.3252137565811,95.64238131882846,0.21031965,0.70996296,0.9993978,-0.9999599,154,143.87860259054335,25.049650765024126,0.048452741000801325,211.53840730478987,236.6365108108148,1894.1266808006912,7
999231,70.98594,6.89624,80.05139,6.304077,11.216724,11.246906,184.07368,88.052505,322.51404,-34.044666,184.67424,88.08813,320.12256,-34.279045,162.33952,83.78495,307.51517,-35.605907,162.96835,83.829216,308.01788,-39.6817,181.2533,88.90433,320.60364,-34.2197,181.9567,88.80318,318.91318,-36.624374,0.22434366,0.682582,0.99999976,-0.9999999,2.6132479,1.541288,5.7183356,-2.8305457,40001,40001,-177.04138,182.27725,88.67978,322.17114,-30.875963,183.0696,88.71952,319.43768,-33.62478,181.17816,88.00043,320.84937,-33.94152,5.8892126,3.2991834,16.752127,-2.8663204,0.4706709,1.4112629,3.3184824,-3.8071365,-0.885575,0.35539854,0.13570398,-1.957629,0.24790671467781067,-0.15450935065746307,0,0,88873,659,529.0555555555555,405.0881210335217,1000,87,2.7694027134911083,1.1013337913599281,7.429925338733558,-1.7067379743974664,1465.1678911431009,1170.1689467958406,3220.0782218975487,194.1175533354636,0.4131738,0.5848435,0.99890494,-0.9993529,18,1465.1678911431009,23.676380942109972,0.028476223815232515,205.48314777994528,229.1880049458705,2123.3359849243425,8
999231,49.579105,4.4315186,43.938225,3.5390625,11.756279,11.576154,192.36348,100.47609,334.9339,-21.54268,191.81229,100.64221,333.17914,-24.373354,169.37842,96.34138,322.0974,-32.84959,169.28384,97.20496,324.73175,-36.566696,189.9689,100.72158,333.55713,-29.333462,189.46591,100.88507,331.88693,-35.5022,0.27167562,0.669008,0.99999964,-0.9999998,2.5803072,1.5738701,5.379383,-2.469057,45001,45001,-184.38472,190.6389,100.97723,332.27765,-16.947613,190.44235,101.18538,332.23334,-20.890965,191.46867,100.563255,334.4865,-23.726261,5.9501605,3.2784672,16.078602,-3.248331,0.54969674,1.3780107,3.6243248,-3.6718235,-0.88116676,0.3731265,-0.061808676,-2.0031338,0.2501273453235626,-0.06906645745038986,0,0,98745,703,224.36363636363637,214.4912681957739,1000,97,2.3478008408999176,1.4306080136883823,6.606843749451808,-5.436528907543082,526.7611341219085,724.4704562297235,3371.940086684761,146.0150116352565,0.2730243,0.6859386,0.9999168,-0.99999654,44,526.7611341219085,20.121704150922596,0.026143292896449566,200.92192842066288,221.06977586448193,2344.4171205693856,9
