replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
1198678,39.87989,27.3494,39.908783,27.349876,0.00021217496,0.00025413433,-8.664693e-06,0.0009641795,0.0024002679,-0.002438261,-0.0038855136,0.001290674,-0.00044849317,-0.0077021606,-1.0650298e-05,0.00095937005,0.0023198507,-0.0024166254,-0.0038825856,0.0012813903,-0.0004359234,-0.007585687,-1.4180643e-05,0.0009612411,0.0023721922,-0.0025538586,-0.0038809516,0.0012850235,-0.00047477905,-0.007490212,0.103871256,0.6046155,0.9999921,-0.99994934,3.45784,0.7989443,5.0815554,0.7914655,1,1,-2.0175266,6.31901e-05,0.00097719,0.0022595772,-0.0022406832,-0.003909092,0.0011695293,-0.0009224473,-0.007022597,3.4487064,0.79868585,5.071527,0.7831008,-2.0214229,0.3643816,-0.8729397,-3.004279,0.0001378184,0.00091433374,0.0016151308,-0.0016159653,0.00088179513,0.00096876523,0.00255634,-0.0021236246,0.9998999834060669,-0.0,0,0,9884,78,126.71794871794872,15.0961851488597,197,96,0.9950309787782647,0.07540533539019104,2.1030889198371128,0.8110893640704366,126.08828454159448,21.545322905938875,246.68562814746682,88.98932544932175,0.00011405021,0.0007993077,0.00106835,-0.0010667094,78,126.08828454159448,8.931795773096383,0.019842577166855335,120.55129508906975,129.502933439333,137.18354143435135,0
1198678,17.66875,14.536865,17.399118,14.51355,3.6436343,3.5757675,69.489296,14.471925,95.00081,14.258942,69.72468,14.413053,96.19007,13.375626,66.0661,14.607534,94.214905,12.7920475,66.3324,14.453489,95.58969,11.307579,69.48488,14.362144,94.31189,15.707081,69.69063,14.318008,95.35666,16.107166,0.033129375,0.60583913,0.9995858,-0.9999626,3.5476835,0.77866465,5.0844803,0.8673114,5001,5001,-70.62938,73.16434,13.427082,95.43966,24.09941,73.38431,13.544018,95.75721,24.265676,73.13839,13.583476,94.49249,23.586966,-1.1405228,1.3899981,3.5255194,-4.757151,0.036461856,0.56601655,1.6247201,-1.6740352,-0.334596,0.35668108,0.81929636,-1.0017179,0.6121223568916321,-2.031862258911133,0,0,19791,138,165.11666666666667,4.59017670925883,174,156,3.0876125550969205,1.0800889351528047,4.7482514595159975,0.9964343106342227,509.8162930557532,17.235757338232837,541.567476179421,471.705992229968,0.020445654,0.3924898,0.89292645,-0.91160583,60,509.8162930557532,8.121705304831266,0.015323282685130835,117.79443712392822,125.93146571144462,263.11948984861374,1
1198678,17.697496,12.817261,18.308002,12.444153,5.221782,5.3324957,124.79976,25.304636,159.96878,-1.8674916,125.06645,25.436815,160.39868,-1.7056515,116.545944,25.976267,159.8867,-3.8042362,116.690895,26.014277,160.24127,-2.9506593,124.25603,25.124687,160.27716,-2.032648,124.517624,25.33494,160.87744,-2.1249528,0.022663856,0.62610966,0.99990195,-0.999833,3.4780579,0.77312857,5.9251585,0.68038934,10001,10001,-124.92709,126.623184,25.243368,158.15184,0.695783,126.97307,25.43471,158.65927,-1.711348,126.550995,25.4391,160.40988,2.2883425,-0.08036552,2.2524502,8.170792,-3.8034215,-0.059110712,0.9618743,1.9614823,-3.0222085,-0.55239046,0.38371313,0.7136255,-1.6552353,0.37755316495895386,-3.0001208782196045,0,0,29668,148,987.7,36.9,1000,877,3.3577605565038215,0.6402718019517716,5.1256002162228835,1.0032483191881092,3316.4601016588263,152.1684585651392,3450.826728244061,2882.8130074195083,0.057856392,0.4632444,0.98681515,-0.9981293,10,3316.4601016588263,8.958852755837142,0.014636883046478033,109.07731178728864,118.05080142617226,381.1764914896339,2
1198678,16.353968,12.095398,16.19515,12.140686,5.765753,5.8041544,166.80722,38.077866,213.45166,12.431786,166.64172,38.251217,213.97629,10.840727,155.71437,38.971115,212.36932,-5.2798295,155.48938,39.082806,212.71106,-0.13867569,166.03381,37.857876,211.59518,11.082943,165.89772,38.065434,213.5805,9.645213,0.009929857,0.62185717,0.99995273,-0.99980706,3.5472388,0.7164469,5.1939583,0.9874009,15001,15001,-163.80884,166.09764,38.704796,213.39165,10.914694,165.94623,38.871304,213.47641,10.3030815,165.7302,38.6479,211.94788,10.717271,2.357804,2.9875023,11.480545,-4.8393774,-0.05512397,1.4088755,3.6385536,-3.8777993,-1.0336592,0.40709275,-0.20591688,-2.3100123,0.27886849641799927,-0.8200441598892212,0,0,39508,175,364.44444444444446,116.12519850745169,647,228,3.6319040782317615,1.038815274169605,6.241253404508382,1.0061681384200363,1323.6272640666862,425.3597042354835,2344.2589524646382,780.4030034871518,0.0953066,0.5789231,0.9998113,-0.9998225,27,1323.6272640666862,8.924541106913239,0.01492032315582037,108.11998070217669,117.05944213224575,498.2421005582437,3
1198678,16.735102,12.061829,15.940776,11.985535,6.5728054,6.524129,200.7193,38.93061,250.07547,29.79858,200.55542,39.11347,246.49661,28.757563,188.27695,41.160522,250.55136,21.27973,188.22343,41.16172,246.44785,21.319508,200.11525,38.671288,249.7829,29.377289,199.91943,38.92733,246.08788,28.52239,0.09891073,0.5996881,0.99998295,-0.9997529,3.5495534,0.7189843,5.1610413,0.92837805,20001,20001,-197.29108,200.1343,39.676846,248.75543,28.968222,199.96423,39.730247,244.5878,29.237532,200.20462,39.76999,248.65907,27.511942,2.8732648,2.8415327,12.239574,-5.556898,0.058950085,1.3677665,3.8290086,-4.0946674,-1.2070357,0.46504393,-0.13538519,-2.5681005,0.20993869006633759,-0.19781973958015442,0,0,49449,215,248.525,10.387462394637105,273,222,3.6101822420659992,1.3135897268872072,6.343847694590989,1.0060105754288462,897.2205417094523,50.97134102531113,1014.4372887515422,760.4800994958542,0.07026112,0.6030657,0.99967,-0.9998691,40,897.2205417094523,8.976943321991712,0.016818014904856682,107.76016689185053,116.7539282287471,615.0022462117486,4
1198678,19.993074,13.152588,19.488102,12.934204,6.3304186,6.2531786,218.64839,50.95853,273.86234,-11.181432,219.30913,50.896152,275.87042,-4.0373774,206.98672,53.185562,273.26535,-8.155369,207.629,52.765728,272.4995,-5.606265,217.98428,50.711475,273.5307,-10.605904,218.56255,50.62687,274.30057,-3.6796217,0.04235771,0.5857841,0.99969447,-0.9998967,3.5303726,0.7560561,5.4023423,0.9206643,25001,25001,-215.49553,217.90451,51.12731,273.6402,-0.61648554,218.5101,51.139347,272.63126,-2.6663144,217.64621,51.399265,275.0504,-0.8854008,2.862267,3.0998926,12.700142,-3.1908207,0.0030386175,1.3859594,2.9903405,-4.3249955,-1.218553,0.4622111,-0.11372341,-2.659585,0.2017785608768463,-0.2204613983631134,0,0,59308,258,229.27906976744185,4.432048092863849,242,225,3.4325826736335427,1.1655392477254736,5.735816896530421,1.0071971880010118,787.0193623105371,19.26789793289393,843.8483917705568,769.6201963403233,0.044686753,0.5790497,0.9998519,-0.9999638,43,787.0193623105371,8.85058805393055,0.015226462855935097,108.34541309578344,117.21122761256993,732.219902947545,5
1198678,17.353985,12.268188,17.807322,11.927612,7.623642,7.5832973,244.01656,47.801334,295.1106,28.066908,244.31497,48.12857,295.69165,26.533045,230.01196,51.543613,295.1021,11.856056,230.35579,51.270435,294.40765,13.098346,243.3261,47.693363,294.54993,27.166866,243.58305,47.983646,295.7719,24.393759,0.0487925,0.60664725,0.99998826,-0.9998361,3.4863868,0.8434267,5.086313,0.80529356,30001,30001,-240.92596,243.13576,48.30639,294.87463,27.811256,243.53883,48.34977,294.77936,25.955688,243.30649,48.139374,293.58432,26.703485,2.5918498,2.878741,12.422695,-3.941848,0.01982732,1.3559455,3.0666127,-3.8571546,-1.2069284,0.47515774,-0.3021473,-2.658745,0.20543041825294495,-0.6459604501724243,0,0,69305,296,263.07894736842104,8.112308967655485,285,253,3.562526345506888,1.1647352021852508,6.061584415902144,1.0047090012597455,937.22568094822,39.27358517490149,1044.273167287794,886.259688615384,0.06793113,0.60487115,0.99940217,-0.999496,38,937.22568094822,8.424162964802235,0.015287403017282486,109.27775559993461,117.71720596775413,849.9431954915635,6
1198678,18.349598,12.025269,21.188519,11.704102,9.984203,10.11561,254.48763,55.279274,308.41946,-4.009431,253.82417,55.306816,306.3347,-4.8899517,235.97574,60.437042,304.013,-9.856151,234.91455,60.030598,302.98703,-7.001299,253.54553,55.131382,308.2611,-3.7225666,252.84685,55.222324,306.0753,-4.5930786,0.01968945,0.6120421,0.99999774,-0.9999069,3.5337663,0.74364334,5.023793,0.8160611,35001,35001,-250.25381,253.41446,56.108845,307.09595,-1.131684,252.78238,55.934235,305.9067,-4.0903487,253.78073,55.839066,305.8985,-1.2757466,3.100161,3.2672205,12.557253,-4.447424,-0.019398334,1.4824616,3.3940582,-4.1222944,-1.2276894,0.47950712,-0.32186678,-2.611589,0.20967303216457367,0.15647588670253754,0,0,79166,316,493.05,114.37896441216803,792,328,3.397526725607888,0.780437441952708,5.110286314531977,0.9752906546082382,1675.1505520609685,411.6681929616513,2693.343402256989,1072.530605775614,0.14685707,0.56401855,0.99998975,-0.9996973,20,1675.1505520609685,8.440292499028146,0.014644221868366003,108.33165035489947,116.78658707579598,966.7361575220712,7
1198678,23.024025,13.287231,24.122648,12.930054,8.362186,8.66123,257.4483,66.3659,320.41675,5.6718674,256.22345,66.357216,317.83167,7.133827,242.33838,68.4073,316.31952,-2.9354515,240.48674,68.13595,315.5602,2.0766945,256.61353,66.24359,320.1461,4.8111763,255.30745,66.17446,317.66864,6.0006886,0.07335956,0.6144371,0.999796,-0.9996908,3.4182732,0.8576253,5.234747,0.7916617,40001,40001,-253.08517,256.47656,66.98408,319.25894,5.5262938,255.32465,67.036064,316.20544,5.572788,257.3596,66.82154,321.19806,7.955713,2.847589,3.0505462,12.203821,-6.4929104,0.0718674,1.384201,3.3705673,-4.0720944,-1.2285858,0.46045914,-0.3129835,-2.4820929,0.21397392451763153,-0.23500072956085205,0,0,88648,338,431.0,222.31406940305297,1000,221,3.374663884962061,0.7588226944704416,5.183788438603877,0.9367551287431667,1454.480134418648,812.6035039526759,3540.306565239618,694.5873548405694,0.12235893,0.54097056,0.99988484,-0.9997516,22,1454.480134418648,8.365743774920702,0.018327165860682726,110.48476052796468,118.86883146874607,1085.611112486571,8
1198678,30.52602,13.348877,29.297338,13.19873,9.761539,10.378358,264.39517,67.52754,328.67755,16.288527,264.4494,67.437744,326.95447,15.8139305,246.71289,70.49726,321.9118,-4.834358,245.4655,70.66955,324.15894,4.4567432,263.42188,67.54445,328.92822,17.934393,263.38974,67.32249,325.69925,17.302273,0.018749686,0.61197364,0.9999422,-0.9998182,3.516692,0.78409445,5.0717406,0.86116946,45001,45001,-260.47882,263.1144,68.48124,327.66684,18.525158,263.09634,68.6403,324.8849,18.488026,265.11688,68.63619,326.84518,19.204197,3.2242684,3.0035648,11.644358,-3.5536397,-0.064118735,1.4968733,3.3685212,-4.0129547,-1.1943921,0.4746222,-0.32919824,-2.7031054,0.21745018661022186,0.3421895503997803,0,0,98020,358,468.6,130.19001497810802,671,303,3.472737425380294,0.781824875483727,5.533880127680779,0.9214767323893243,1627.324757533206,473.6581900198861,2395.7010176850295,1033.0276333083555,0.13091142,0.56757486,0.9998961,-0.9998014,20,1627.324757533206,8.661199579946697,0.014569461811333895,108.75614920025691,117.43191824201494,1203.0490215034224,9
