replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999106,47.409798,37.788227,47.44535,37.78762,0.0003082159,0.00027499566,0.008595029,0.0013214083,0.013572356,0.005382036,0.0014045412,0.0016888671,0.0074235494,-0.0038634124,0.008585192,0.0013250135,0.013930978,0.0053990083,0.0014052263,0.0016833369,0.0070877834,-0.0038557337,0.008583573,0.0013271766,0.013657228,0.005252202,0.0014080044,0.0016856885,0.0072617754,-0.0042283656,0.22093163,0.688312,0.9999999,-0.99999994,2.702958,1.5358697,6.2225347,-1.9062972,1,1,-4.0063014,0.0084890425,0.0013027319,0.012826098,0.005467692,0.0014271273,0.0016962202,0.0072951103,-0.0039688568,2.7028103,1.5368735,6.219663,-1.9113173,-4.004881,0.526325,-2.2925014,-5.2267203,-0.0002659087,0.0015322702,0.0032202092,-0.0035480158,9.590429e-05,0.0017863379,0.0045354776,-0.004587504,0.9998999834060669,-0.0,0,0,9978,77,129.58441558441558,32.24715859801405,247,100,0.7542695974528634,0.3570474012793031,1.0139963963860195,-1.2088414904255353,97.7415849790217,12.449640364623843,142.29070834252104,77.61103416831914,-0.00013189607,0.0011755694,0.0017837916,-0.0026312904,77,97.7415849790217,30.83502988796681,0.04137445613741875,229.61538413492963,260.49178847903386,282.71473463159055,0
999106,31.150265,11.099121,29.49759,11.064682,6.470624,6.5485516,41.546494,25.138388,93.91165,-21.756218,41.640167,25.322838,94.97207,-18.35174,33.17027,23.120571,80.22722,-24.332254,33.21836,23.30206,81.436516,-22.104784,41.08017,25.092793,95.488556,-25.343662,41.202354,25.255827,96.19183,-22.061779,0.24953818,0.6805641,0.99999833,-0.99999976,2.6370182,1.5207099,6.9232783,-1.5814,5001,5001,-42.530197,47.410873,25.555489,91.78697,-6.6076174,47.660583,25.477549,91.180595,-5.910664,48.118248,25.850037,94.731834,-17.634233,-2.0782604,2.3124175,10.01882,-6.5495253,0.2703666,0.6674686,2.21981,-2.320046,-0.17360358,0.32731244,1.323961,-1.1978602,0.6138941049575806,-3.940863609313965,0,0,19910,154,128.98701298701297,2.3271045857627652,134,122,0.21444185095529222,0.5841323130624391,1.521889812267306,-0.7065442365195936,27.66021381412937,1.5284085999799017,31.37817201611894,23.645379885606534,0.3587692,0.32880703,0.9264824,-0.54141414,77,27.66021381412937,27.995817691553384,0.03876712312921882,221.12584411306307,249.16042892774567,531.8916258127429,1
999106,36.794598,7.628296,36.366135,7.8635254,8.216884,8.129294,73.40581,44.101517,151.34247,-15.887267,73.443344,43.997723,151.79947,-16.769169,59.61629,39.88122,137.76523,-19.544975,59.818806,39.836693,138.52994,-19.818901,72.24074,43.911922,150.8722,-15.98568,72.16295,43.885857,150.74493,-15.6343155,0.2258615,0.69181406,0.999997,-0.9999886,2.7400985,1.5645586,6.657187,-1.0155615,10001,10001,-72.40999,76.917336,43.555782,149.95917,-9.542298,76.925964,43.49205,151.47911,-7.4885607,77.5692,43.899757,155.94887,-7.0210485,0.14649647,2.956373,9.416767,-7.2922926,0.34350297,0.9239614,2.916924,-3.2832193,-0.35987946,0.41943893,1.0764004,-1.4595077,0.3808971643447876,-5.6494011878967285,0,0,29830,223,143.768115942029,81.03481894813841,527,92,2.2036155022460417,1.5072063968475133,7.165560247897567,-2.3123976241198454,316.8096490185614,323.21155615418166,1839.1306875708588,114.48834646129923,0.17558576,0.5517567,0.9959295,-0.9991262,69,316.8096490185614,25.355055378284305,0.015650684013962746,184.57429119106382,209.9449972533621,741.8611548272893,2
999106,36.258842,3.391327,34.633236,3.1499023,9.695932,9.893116,97.811165,56.365788,201.55669,-15.045522,97.456985,56.32061,201.41028,-17.123175,78.66945,52.424305,183.2406,-31.119888,78.04198,51.988415,185.52875,-27.594784,96.068184,56.616154,200.23282,-16.45878,95.81378,56.54029,200.9964,-17.187624,0.2510873,0.6804495,0.99994,-0.9999997,2.623375,1.6005712,6.537676,-2.1984549,15001,15001,-90.81622,96.625145,56.364143,200.34337,-17.83575,96.30227,56.31074,200.48056,-15.404308,97.52771,57.09317,202.52153,-17.583967,5.871262,3.4803352,17.027588,-5.564877,0.6803389,1.3513571,4.1332517,-3.6243806,-0.8243094,0.35248077,0.11905444,-1.9288824,0.2961881756782532,-0.15663716197013855,0,0,39814,427,48.94117647058823,3.442307506434911,62,44,1.431005185953661,1.2426853205273827,7.51970854363654,-0.6531182667050999,70.03507733608507,18.98288352629479,150.55696874000117,50.54068970774634,0.26965722,0.7148379,0.9977121,-0.9985677,204,70.03507733608507,22.086713502649218,0.04877346195280552,196.39513191208243,218.53061887668446,960.4129400043748,3
999106,39.150837,4.482605,35.283455,4.774231,10.78139,10.692627,105.83561,71.88426,240.48157,-21.794872,105.88524,71.95567,239.06776,-19.983492,84.82643,66.016785,222.45572,-30.154799,85.099,66.20524,221.7377,-28.205769,104.037674,72.07121,235.56578,-24.511269,104.148026,72.286606,235.47484,-22.909601,0.24801143,0.6873317,1.0,-0.99999976,2.5814404,1.5582893,6.5274997,-1.5679256,20001,20001,-98.61931,104.33186,71.901146,238.39252,-21.153505,104.384155,71.85296,238.71016,-15.654883,105.2794,72.46874,239.66617,-16.59799,6.0534086,3.4572356,17.291119,-1.9832463,0.534074,1.4067767,3.3810742,-3.9724905,-0.8680752,0.37409228,0.0063013285,-2.1175022,0.25129052996635437,0.07376181334257126,0,0,49782,527,99.68,125.19719485675388,1000,32,1.5481407364719928,1.6356644628449775,8.817105650202338,-4.63607446623444,154.31866861152827,262.47349282291253,1548.9569224323434,11.136100051442547,0.34289813,0.6685614,0.9997097,-0.9999634,100,154.31866861152827,28.68952932022512,0.015657454263418913,199.55157428141683,228.25676105590537,1188.6904518776573,4
999106,40.526077,6.647278,39.942177,5.2823486,11.095079,10.819308,120.92177,76.49734,256.3323,-26.83329,119.99125,76.641846,257.4441,-30.378195,98.99492,69.96865,247.32858,-31.935793,98.723045,71.02901,246.2049,-35.371162,118.67344,76.82711,254.4972,-29.171963,118.02995,77.07424,256.62106,-32.056072,0.25199416,0.673784,0.9999998,-0.9999968,2.832205,1.4889315,5.871985,-2.4064531,25001,25001,-113.275246,119.070816,76.39893,252.30148,-23.148085,118.44461,76.71184,252.35379,-26.803665,118.097404,77.05173,255.9387,-31.588985,5.772398,3.3641152,15.458484,-4.162024,0.545957,1.379544,3.3896575,-3.561917,-0.85486895,0.37656993,0.12263649,-2.0706,0.25504371523857117,-0.3109710216522217,0,0,59720,637,90.34545454545454,129.40749144842894,1000,56,1.3605750812734256,1.5253328730072455,7.778330947291508,-4.19716184347389,122.92177416086642,342.82440116462226,2642.8203115664205,38.71965849586573,0.36024553,0.68884534,0.99993217,-0.99995595,110,122.92177416086642,17.752567999996245,0.040511834900826216,177.39491475792602,195.1879945928231,1383.891021311283,5
999106,52.989914,4.8118896,48.016724,5.5581665,11.931123,11.850557,123.15483,84.56676,270.45032,-24.63172,121.27366,84.07942,269.90204,-25.804598,99.72267,76.94394,253.89725,-42.17776,98.12937,76.818184,257.80496,-41.485626,120.9717,84.8242,271.23425,-28.048115,119.38387,84.1229,269.63123,-30.165092,0.25837398,0.6754404,0.9999962,-0.9999994,2.6765585,1.4726518,6.093033,-1.5815333,30001,30001,-114.41121,121.66871,84.94065,269.28888,-29.570267,119.650215,84.30951,268.74213,-27.40786,119.67711,85.018105,264.88843,-27.268919,6.17865,3.1842322,15.244904,-4.6126113,0.54978204,1.3897079,3.2145224,-4.582185,-0.8735004,0.35477334,0.13236463,-2.07898,0.2558135986328125,0.24355550110340118,0,0,69696,698,163.54098360655738,223.94251119504756,1000,55,2.2090646099983537,1.6665941901549228,8.63001910297165,-0.9321358838011001,361.27259916956683,500.1866022333113,3122.17986624198,93.0418499256304,0.36851764,0.64594454,0.99932075,-0.99965644,61,361.27259916956683,24.5194005779922,0.044278427958488464,200.4950502337888,225.05872923973948,1608.9680923363194,6
999106,45.05796,3.8144531,50.54857,4.377014,11.871979,11.826887,121.61363,89.89122,269.43414,-16.212425,122.49408,89.71749,272.63275,-17.764048,98.39645,82.608864,253.61751,-27.503004,99.39003,83.31714,257.4312,-30.28833,119.68562,90.12206,267.22308,-17.521133,120.50747,90.27612,271.00183,-14.250741,0.26459906,0.6705434,0.9999912,-0.99999994,2.6931603,1.5401971,6.037472,-1.9687372,35001,35001,-113.84166,119.8435,89.84299,268.46976,-13.176804,120.582306,89.78175,269.98935,-14.086321,119.79393,89.12532,265.52567,-14.882547,6.6797137,3.4332547,19.75175,-4.1050563,0.5912754,1.4204583,3.3431544,-3.7423663,-0.9192102,0.37307754,-0.0062734187,-2.187684,0.25760143995285034,0.9219940900802612,0,0,79671,817,83.82352941176471,108.07798670900871,1000,55,2.579166970852336,1.7724387190178368,7.466087229730164,-0.4912998318020989,216.1948784390929,398.8067212856764,3575.3398894534225,109.73916302824553,0.20582385,0.72659045,0.99798906,-0.99960536,119,216.1948784390929,24.162925681564957,0.04229641566053033,207.40494132507592,231.6101634223014,1840.605004621204,7
999106,42.1656,3.5698853,43.22052,3.3719482,11.582111,11.53718,110.52012,91.635956,289.3667,-14.347831,110.70979,91.84027,285.71375,-14.876761,87.72244,85.01755,275.31964,-23.730785,87.94725,85.75445,271.8194,-29.287792,108.0552,91.83776,288.8677,-11.956138,108.179344,92.20556,285.84143,-16.21707,0.20413564,0.703075,1.0,-0.9999993,2.5806544,1.6087079,6.1301403,-3.4396904,40001,40001,-102.99722,109.08206,91.76774,288.77536,-14.810388,109.183136,92.069084,286.03107,-17.081913,109.085526,91.901306,284.9986,-20.760626,6.3134394,3.2673109,13.985792,-2.770897,0.41043246,1.4724659,2.9936588,-3.6006267,-0.8273439,0.37036043,0.09630263,-2.1110969,0.2583904266357422,0.42416247725486755,0,0,89560,879,159.5,148.23376808271453,1000,58,2.4290220646517526,1.4910767809863819,6.7425414761266556,-2.7014206187303222,387.4290193119546,551.5309366501386,3528.853326500351,116.83599954229527,0.20958221,0.72109824,0.99980414,-0.999968,62,387.4290193119546,21.496632494032383,0.052557145711034536,198.26346915122122,219.81265879096463,2060.4351508957334,8
999106,44.55761,5.8842163,49.91752,7.2148438,12.196715,11.880535,121.519775,95.04922,286.4505,-20.696003,121.15474,95.88352,285.3415,-25.478422,97.903336,87.053085,274.10748,-36.214615,98.124306,88.49591,273.07782,-36.976475,119.187454,95.597046,285.6916,-34.222755,119.074875,96.5114,284.37653,-33.703964,0.24235351,0.675708,0.9999979,-0.99999976,2.6743398,1.5361098,5.817997,-1.7183101,45001,45001,-113.698326,119.62401,94.994675,283.58954,-20.125914,119.111374,95.76339,284.28476,-25.511278,119.04097,94.760056,283.11658,-27.6891,5.90466,3.5832539,16.36655,-3.9482586,0.54690033,1.3826675,3.213251,-3.4808936,-0.88479584,0.40788734,0.20621693,-2.199781,0.2572932541370392,-0.12942954897880554,0,0,99477,939,165.28333333333333,133.06240286255002,1000,112,2.232926315117751,1.4630367423301496,6.673001804660331,-5.599925134985197,369.065504450379,475.2895873841048,3364.928791253902,177.236373941661,0.20992117,0.7299485,0.99960625,-0.9997894,60,369.065504450379,19.682259481865913,0.04288904694840312,205.87556209787726,225.60071062669158,2286.0593395931646,9
