replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
401598,37601.004,27.407373,37599.31,27.407326,0.00024506482,0.00034837634,0.0010412018,0.0015350541,0.005709175,-0.0025173547,0.0058732675,0.0005309886,0.0073974575,0.0045053326,0.0010250302,0.0015428929,0.0056602703,-0.0025212152,0.005892697,0.00050133397,0.007375694,0.0044035763,0.0010370472,0.0015391994,0.005688768,-0.0025300176,0.005891867,0.0005303858,0.0073776087,0.004384975,0.11914039,0.6598552,0.9998287,-0.9998401,2.4109483,1.0885417,5.4006834,-1.0134469,1,1,-2.0072293,0.00095246587,0.0015379668,0.0055730715,-0.0023526913,0.005817095,0.00042704848,0.006964151,0.0047280416,2.4115055,1.0884422,5.398701,-1.0129032,-2.0062037,0.39547163,-0.89197016,-3.0666366,0.00016014925,0.00215734,0.004563504,-0.0042572524,0.0007087044,0.00078079075,0.0021781337,-0.000725099,0.9998999834060669,-0.0,0,0,9873,82,120.40243902439025,12.283103361834154,154,94,0.984951477094341,0.053883810975543,1.4619956134237315,0.8072538726790213,118.5905601628345,16.58314908485679,171.7709799507273,87.05427856697845,0.00031486255,0.002005232,0.0029837233,-0.0020603447,82,118.5905601628345,6.664797629695386,0.01597028411924839,101.66198691073805,108.34275482455269,115.61355594685301,0
401598,180.69858,29.899658,184.36339,30.036621,3.3923776,3.7112548,232.18408,58.59832,333.17853,22.273405,231.99165,58.375744,330.43066,19.109535,230.20493,58.318375,330.98868,22.627344,229.80305,58.201584,328.30872,18.996588,232.0094,58.52646,333.3271,21.90413,231.78572,58.375233,330.60675,18.94579,0.11939933,0.64657396,0.9996215,-0.9988164,2.4070234,1.0184764,5.5172048,-0.62234265,5001,5001,-232.33868,233.41302,59.030994,332.92038,21.900589,233.42357,58.74514,330.31595,20.680107,230.70364,59.962036,332.6436,-0.62234265,-1.3710155,1.2474082,4.64292,-4.767928,0.1635289,0.5159269,1.4734657,-1.6183164,-0.14563884,0.30765224,0.46765637,-1.1293061,0.6107103228569031,-2.1550605297088623,0,0,19484,106,400.4583333333333,3.2142802028171444,405,394,1.5969110182095738,0.6669564337434549,3.3994813318192065,0.9960249940431259,639.4963248338423,3.2782052628609253,644.3899697764432,632.0874067806112,0.12137412,0.32460314,0.77405626,-0.7917137,24,639.4963248338423,6.973888576962054,0.014693533070385456,100.04042674275115,107.02900885278359,222.6488171457313,1
401598,145.8223,28.69226,143.44647,29.040283,4.373923,4.433775,224.50345,68.82792,327.65225,11.821018,223.73384,68.98942,328.5926,10.703852,220.76265,68.6122,327.18964,11.315073,219.9502,68.76552,327.9743,9.444151,224.04504,68.68325,326.84857,11.362568,223.24458,68.940155,327.7155,9.108988,0.16629118,0.6561223,0.99993825,-0.9997204,2.3517547,0.94155735,4.6539845,0.53044796,10001,10001,-223.19363,225.77303,69.15957,326.5594,12.545278,224.935,69.35881,327.7672,11.522468,221.5519,69.27861,323.8817,4.048399,-1.0222454,1.6243899,4.4132895,-4.953842,0.25225464,0.69670755,1.8463135,-2.1564574,-0.20975554,0.37086272,0.5914433,-1.3386047,0.37407147884368896,-3.9547119140625,0,0,29385,144,260.55263157894734,67.24882991289692,343,120,2.7247719948633042,1.0856462833996254,5.421995914265053,0.9972741991436822,709.9465137142519,210.05835224025378,944.7869780053358,239.6892984120185,0.1500823,0.47251034,0.9406577,-0.9830622,38,709.9465137142519,6.412507012952119,0.018928356003016233,101.21320460410789,107.64463997306302,330.29917878331617,2
401598,80.92742,22.78894,77.75126,23.531128,3.1892066,3.1152954,244.77124,70.75629,340.30292,9.767297,244.1613,70.75659,340.28168,9.125019,239.30684,70.72219,339.28302,9.159982,238.86801,70.78151,336.63513,8.871041,244.12187,70.5856,340.40247,10.321079,243.48514,70.58502,340.75922,9.589666,0.11803955,0.6696933,0.9994622,-0.9996714,2.4359646,1.0043597,5.3172994,0.2525712,15001,15001,-241.4883,243.15251,70.85076,337.90958,10.650184,242.35661,70.92088,332.25888,10.806589,241.56406,72.01538,340.0113,4.1031637,1.9070694,2.593652,10.632864,-4.113942,0.56222796,1.2773949,3.7289653,-3.4077747,-0.5656337,0.26610857,-0.0551438,-1.4574738,0.25661128759384155,-1.4865031242370605,0,0,39329,166,452.0,42.135064214542695,499,379,2.9528872957449646,0.7448608648471529,4.897119481009778,1.0087615506821108,1334.705057676724,152.12394254764683,1489.1196797529797,1073.2968562548874,0.27696735,0.6288974,0.99968106,-0.99818397,22,1334.705057676724,6.668538462836295,0.014819232746958733,94.4085989529267,101.09195664850995,431.39721977803856,3
401598,46.86306,20.444092,45.316795,20.471558,2.7855954,2.748661,251.19527,73.46807,348.58984,12.204285,250.46213,73.50641,348.3805,12.752742,246.29483,73.336945,344.30286,6.389852,245.60214,73.599945,345.15848,1.1870723,250.69766,73.42617,348.5441,11.931908,249.88461,73.48284,348.3526,13.02511,0.1949064,0.654395,0.9998757,-0.999907,2.4439826,1.0271388,5.636091,-0.31954,20001,20001,-247.09036,249.62451,73.8264,346.52792,12.253121,248.89429,73.85171,348.11154,9.745381,248.30142,74.304245,344.69586,-2.1769986,2.7538881,2.5484025,10.016638,-5.1858864,0.61756104,1.4267355,4.0214343,-3.4366903,-0.65766543,0.32217115,-0.023190342,-1.9438925,0.17759215831756592,-0.42533209919929504,0,0,49287,203,269.13513513513516,35.46613318872127,307,216,3.142407847125064,0.932870345970307,5.256024727367544,1.006868780449975,845.7323605857131,125.15388388361059,955.25153484143,661.2385280838377,0.25892785,0.6783288,0.9999825,-0.9981844,37,845.7323605857131,6.33161180280149,0.021284358110278845,101.25020400620997,107.60310016712174,539.0061446791515,4
401598,51.349834,19.69873,54.452988,19.815063,2.9705749,2.7575016,255.73564,66.31089,359.8578,15.842657,255.07486,65.7912,359.0402,14.548798,250.55502,66.6996,357.81042,13.318244,250.27632,66.04342,355.96454,10.342053,255.3566,66.375305,359.0343,15.161507,254.51978,66.00161,358.6081,13.675236,0.17799525,0.6404576,0.99999213,-0.99889094,2.4121118,1.0543573,5.704139,-0.13472527,25001,25001,-251.02582,254.25412,66.70362,359.89438,16.35144,253.68004,66.17262,358.11877,12.557079,254.50558,66.478874,358.80475,15.406677,3.3819065,2.6685588,11.969644,-6.1728616,0.72269344,1.4596025,3.7305517,-3.548574,-0.72396237,0.38869095,-0.121313736,-2.2967877,0.16192039847373962,0.6953417658805847,0,0,58992,228,388.2,47.80041840821062,487,305,3.1295488238638662,0.8095659749407719,5.185461896754038,1.0123831628021456,1214.8908534239529,166.6715562340797,1580.505708987617,928.5917427802109,0.2711717,0.6779103,0.99998844,-0.99952865,25,1214.8908534239529,6.37043790705502,0.024606790859252214,94.47529865987599,100.87034335779026,639.8860702645034,5
401598,51.06436,22.068115,55.23946,22.449219,2.9648383,3.1160035,251.49365,69.08037,347.98947,-6.2952485,251.55762,68.61015,351.1887,-11.504967,246.25504,69.834435,347.40555,-6.677921,246.08687,69.68685,350.5983,-14.377708,250.94902,68.94634,348.19904,-6.139638,251.09067,68.6358,350.9996,-10.0473175,0.19533627,0.64478266,0.9999593,-0.9992955,2.3684347,1.1004281,5.118512,-0.9328421,30001,30001,-247.08554,249.513,69.44853,347.36374,-6.1998677,249.50327,69.10723,350.7707,-6.4296484,249.25854,69.768875,348.5885,-6.111089,3.1830442,2.8668308,12.842752,-5.483818,0.61187285,1.4789251,3.3677669,-3.3014424,-0.7267644,0.38710397,-0.12689242,-2.217488,0.16473400592803955,0.33009815216064453,0,0,68818,258,327.53333333333336,30.829351094190887,388,303,3.114344541754546,0.8999763108338646,5.147890359600229,1.0062125027213726,1020.051648909339,113.59237153955732,1247.0917852107982,939.5702932953648,0.25723323,0.67938334,0.9998804,-0.9982871,30,1020.051648909339,6.941778238862753,0.014628891833126545,99.38694383017719,106.34335096087307,746.235521373339,6
401598,58.95854,18.463501,57.03115,19.394287,3.5064666,3.5109253,261.71957,59.56062,348.82117,37.977135,261.47812,58.74394,347.71423,38.967964,255.20415,60.36186,345.8975,35.931126,255.01826,59.688606,343.97314,36.460323,261.01547,59.741146,348.00793,37.020077,260.82245,58.74516,347.50696,37.527283,0.17697668,0.6595587,0.9998418,-0.99904907,2.3555274,0.9895991,5.100443,-0.11257793,35001,35001,-257.4992,259.8664,59.846466,347.94962,38.82753,259.53256,59.048325,346.85114,41.756638,259.10336,59.99878,344.57632,2.369609,2.968649,2.4590635,9.811647,-3.1509492,0.7120557,1.4311281,3.510062,-3.2786727,-0.7453005,0.40037635,-0.096543044,-2.261226,0.17229796946048737,-0.05513247847557068,0,0,78766,287,343.0344827586207,35.62107353667033,401,312,3.0673652872320263,0.8478478938946181,5.1224778656739876,1.0099529274582895,1052.2120647373863,125.09669277405489,1276.6483599580909,945.3472724527401,0.25209695,0.6864347,0.99980766,-0.99843556,29,1052.2120647373863,6.362112259026617,0.016747714020311832,95.95157152181491,102.33043149486184,848.5717403003946,7
401598,48.795937,22.16809,57.620636,22.431274,3.1474605,3.3413305,259.00702,71.28122,347.23032,-2.400697,260.55502,71.97243,354.94016,6.9753475,253.27205,71.99882,344.2821,-3.417752,254.53755,72.82357,348.5876,-3.3720665,258.5522,71.1778,345.74243,-2.6957061,260.0441,71.95574,354.2412,4.484005,0.104628325,0.6599064,0.99817854,-0.99927807,2.4212213,0.99219275,5.039198,-0.10695194,40001,40001,-255.538,256.9316,72.269424,346.7321,-2.8698473,258.4016,73.07154,353.15256,2.5337503,256.15958,72.51409,347.9835,-0.10695194,3.0267339,2.4709663,14.179775,-2.8465972,0.5014274,1.4456302,4.293124,-3.485972,-0.7520837,0.45306158,0.122562066,-2.3238218,0.17816409468650818,0.04611702263355255,0,0,88454,315,346.0,43.9260742611948,479,297,3.109269576030012,0.9079883266980121,5.219552953002978,1.0069571188739317,1075.8072733063843,163.42149917615765,1547.0992513361132,903.1695941952611,0.26739928,0.6718403,0.9996278,-0.99866986,28,1075.8072733063843,6.798811465036124,0.015217972919344902,97.639344625175,104.45337406313047,953.0310935499147,8
401598,49.014217,18.923462,48.21299,18.747192,3.406805,3.3563247,247.67781,76.00219,348.43356,-5.5843744,247.8068,76.10913,346.24365,-7.5997543,241.49199,76.24505,346.54346,-5.948523,241.80916,76.81381,344.76556,-15.7196045,247.16753,75.94254,348.3932,-5.4209905,247.41623,76.05546,345.8913,-9.6443405,0.1643054,0.6434302,0.9999276,-0.9979482,2.4798787,1.1561179,5.556355,-1.1261035,45001,45001,-243.56393,245.97122,76.31453,346.84158,-5.2481775,246.27985,76.416985,345.34982,-7.0726714,246.47653,76.991776,344.47617,-5.949246,3.139727,2.8511295,10.953998,-3.8347187,0.5670336,1.4797653,3.0390995,-3.286253,-0.73688954,0.45242563,-0.08735202,-2.5207343,0.17560170590877533,0.2430545538663864,0,0,98352,341,380.6923076923077,57.991888843161796,488,305,3.08761388219111,0.8450588792503423,5.34130468357007,1.0094584226542405,1175.4308540741388,202.58224590035232,1524.4788936305893,920.9622400704219,0.24744424,0.66426367,0.9997157,-0.9980015,26,1175.4308540741388,6.345251405145973,0.015623352956026793,98.54743567714468,104.90831043524668,1057.945369430352,9
